ESTBAN (Documento 4500) por municipio 
Data de geracao dos dados: 2022-08-10
#DATA_BASE;UF;CODMUN;MUNICIPIO;CNPJ;NOME_INSTITUICAO;AGEN_ESPERADAS;AGEN_PROCESSADAS;VERBETE_110_ENCAIXE;VERBETE_111_CAIXA;VERBETE_112_DEPOSITOS_BANCARIOS;VERBETE_113_BACEN_RESERV_BANC_EM_ESPECIE;VERBETE_114_APLIC_TEMPORARIAS_EM_OURO;VERBETE_120_APLIC_INTERFINANC_DE_LIQUIDEZ;VERBETE_130_TIT_E_VAL_MOB_E_INST_FIN_DERIV;VERBETE_140_REL_INTERFINANC_E_INTERDEPEND;VERBETE_141_CORRESPONDENTES_NO_EXTERIOR + VERBETE_142_CORRESPONDENTES_NO_PAIS;VERBETE_143_DEPEND_MATRIZ_E_CONGENERES_NO_EXTERIOR_EM;VERBETE_144_COBRANCA_EM_TRANSITO + VERBETE_145_ORDENS_DE_PAGAMENTO	+ VERBETE_146_VAL_LIGADAS_E_TERC_EM_TRANSITO + VERBETE_147_DEPENDENCIAS_NO_PAIS	+ VERBETE_152_SUPRIMENTOS_INTERDEPENDENCIAS;VERBETE_153_RELACOES_COM_A_CARTEIRA_DE_CAMBIO_E_DE_DESENVOL;VERBETE_158_OUTR_REL_INTERF_E_INTERDEPEND;VERBETE_160_OPERACOES_DE_CREDITO;VERBETE_161_EMPRES_E_TIT_DESCONTADOS;VERBETE_162_FINANCIAMENTOS;VERBETE_163_FIN_RURAIS_AGRICUL_CUST/INVEST;VERBETE_164_FIN_RURAIS_PECUAR_CUST/INVEST;VERBETE_165_FIN_RURAIS_AGRICUL_COMERCIALIZ;VERBETE_166_FIN_RURAIS_PECUARIA_COMERCIALIZ;VERBETE_167_FINANCIAMENTOS_AGROINDUSTRIAIS+VERBETE_168_RENDAS_A_APROPRIAR_FINANC_RURAIS_AGROINDUSTRIAIS;VERBETE_169_FINANCIAMENTOS_IMOBILIARIOS;VERBETE_171_OUTRAS_OPERACOES_DE_CREDITO;VERBETE_172_OUTROS_CREDITOS;VERBETE_173_CREDITOS_EM_LIQUIDACAO;VERBETE_174_PROV_P/_OPER_CREDITOS;VERBETE_176_OPERACOES_ESPECIAIS;VERBETE_180_ARRENDAMENTO_MERCANTIL;VERBETE_184_PROV_P/OPER_ARR_MERCANTIL;VERBETE_190_OUTROS_VALORES_E_BENS;VERBETE_200_PERMANENTE;VERBETE_300_CONTAS_DE_COMPENSACAO;VERBETE_399_TOTAL_DO_ATIVO;VERBETE_401_SERVICOS_PUBLICOS + VERBETE_402_ATIVIDADES_EMPRESARIAIS + VERBETE_403_ESPECIAIS_DO_TESOURO_NACIONAL + VERBETE_404_SALDOS_CREDORES_EM_CONTAS_DE_EMPRESTIMOS_E_FINAN + VERBETE_411_DE_PESSOAS_FISICAS + VERBETE_412_DE_PESSOAS_JURIDICAS + VERBETE_413_DE_INSTITUICOES_FINANCEIRAS + VERBETE_414_JUDICIAIS + VERBETE_415_OBRIGATORIOS + VERBETE_416_PARA_INVESTIMENTOS + VERBETE_417_VINCULADOS + VERBETE_418_DEMAIS_DEPOSITOS + VERBETE_419_SLD_CRED_CTAS_EMPR_FINANC_OUTR;VERBETE_420_DEPOSITOS_DE_POUPANCA;VERBETE_430_DEPOSITOS_INTERIFNANCEIROS;VERBETE_431_DEPOSITOS_INTERFINANCEIROS;VERBETE_432_DEPOSITOS_A_PRAZO;VERBETE_433_CAPTACEOS_NO_MERCADO_ABERTO;VERBETE_440_REL_INTERFINANC_E_INTERDEPEND;VERBETE_441_CORRESPONDENTES_NO_EXTERIOR + VERBETE_442_CORRESPONDENTES_NO_PAIS;VERBETE_443_DEPENDENCIAS_MATRIZ_E_CONGENERES_NO_EXTERIOR;VERBETE_444_COBRANCA_EM_TRANSITO + VERBETE_445_ORDENS_DE_PAGAMENTO + VERBETE_446_VAL_DE_LIG_E_TERC_EM_TRANSITO + VERBETE_447_DEPENDENCIAS_NO_PAIS + VERBETE_456_SUPRIM_INTERDEPARTAMENTAIS + VERBETE_458_OUTR_REL_INTERFIN_INTERDEPEND;VERBETE_457_RELACOES_COM_A_CARTEIRA_DE_CAMBIO_E_DE_DESENVOLV;VERBETE_460_OBRIG_POR_EMP_E_REPASSES;VERBETE_461_BANCO_CENTRAL_ASSISTENCIA_FINANCEIRA + VERBETE_462_REDESCONTO + VERBETE_463_REFINANCIAMENTOS + VERBETE_467_OPERACOES_ESPECIAIS + VERBETE_468_OUTR_OBRIG_POR_EMPR_E_REPASSES;VERBETE_470_INST_FINANCEIROS_DERIVATIVOS;VERBETE_480_OBRIGACOES_POR_RECEBIMENTO;VERBETE_481_IOF + VERBETE_482_CONTRIBUICOES_PREVIDENCIARIAS + VERBETE_483_TRIBUTOS_ESTAD_E_MUNICIPAIS + VERBETE_484_TRIBUTOS_FEDERAIS + VERBETE_485_FGTS + VERBETE_487_DEMAIS_RECEBIMENTOS;VERBETE_486_PIS/PASEP;VERBETE_490_CHEQUES_ADMINISTRATIVOS + VERBETE_500_OUTRAS_OBRIGACOES;VERBETE_610_PATRIMONIO_LIQUIDO;VERBETE_710_CONTAS_DE_RESULTADO;VERBETE_711_CONTAS_CREDORAS;VERBETE_712_CONTAS_DEVEDORAS;VERBETE_800_CONTAS_DE_COMPENSACAO;VERBETE_899_TOTAL_DO_PASSIVO;CODMUN_IBGE
202112;AC;5184;MANOEL URBANO;00360305;CAIXA ECONOMICA FEDERAL;1;1;1020873;1020873;0;0;0;0;0;-4877720;60709;0;5000;;-4943429;19155923;15334645;40984;0;0;0;0;0;4737705;109944;0;-5;-1067350;0;0;0;145446;0;48894530;64339051;2455437;11470455;74918;0;74918;0;79818;0;0;79818;0;0;0;0;30357;30357;0;3266;0;1330272;1786015;-455743;48894530;64339051;1200344
202112;AC;9465;ASSIS BRASIL;00360305;CAIXA ECONOMICA FEDERAL;1;1;1282477;1282477;0;0;0;0;0;-5164439;74100;0;2322;;-5240861;9569898;9813571;28257;0;0;0;0;0;249775;0;0;-8;-521697;0;0;0;0;0;27404754;33092690;683050;4364528;25140;0;25140;0;25113;100;0;25013;0;0;0;0;7083;7083;0;8;0;583014;991922;-408908;27404754;33092690;1200054
202112;AC;15978;FEIJO;00360305;CAIXA ECONOMICA FEDERAL;1;1;3649303;3649303;0;0;0;0;0;-24974661;104131;0;0;;-25078792;40191839;27284380;35831;0;0;0;0;0;14453084;142147;0;-1187;-1722417;0;0;0;57809;0;70565241;89489531;1743574;14050127;1273122;0;1273122;0;62328;40;0;62288;0;0;0;0;18168;18167;0;694;0;1776277;2977372;-1201095;70565241;89489531;1200302
202112;AC;15978;FEIJO;04902979;BCO DA AMAZONIA S.A.;1;1;390089;390089;0;0;0;0;0;5833404;0;0;5833404;;0;7153667;4367390;0;2713151;0;0;0;0;0;0;73127;0;0;0;0;0;0;0;68505095;81882255;5541039;6881005;360465;0;360465;0;0;0;0;0;0;0;0;0;3521;3521;0;32046;0;559085;785161;-226076;68505095;81882255;1200302
202112;AC;18690;XAPURI;04902979;BCO DA AMAZONIA S.A.;1;1;208017;208017;0;0;0;0;0;5126289;0;0;5120715;;5575;11658315;4556123;385098;6671321;0;0;0;0;0;0;45774;0;0;0;0;0;0;0;78982714;95975335;9643486;6460762;264195;0;264195;0;0;0;0;0;0;0;0;0;616;616;0;75029;0;548533;727633;-179101;78982714;95975335;1200708
202112;AC;27478;TARAUACA;00000000;BCO DO BRASIL S.A.;1;1;3096198;3096198;0;0;0;0;0;3372435;9494;0;3362941;;0;151621425;82710364;2534141;52878075;0;0;0;0;1967191;0;11531655;0;0;0;0;0;19787;0;53365688;211475534;15561569;30697264;8625869;0;8625869;0;90066077;0;0;90066077;0;0;0;0;37357;37357;0;1700895;0;11420814;13622978;-2202163;53365688;211475534;1200609
202112;AC;27478;TARAUACA;00360305;CAIXA ECONOMICA FEDERAL;1;1;3748347;3748347;0;0;0;0;0;-45787450;10530;0;2205;;-45800185;73532247;53309586;0;0;0;0;0;0;22441896;1139885;0;-7;-3359113;0;0;0;248419;0;127323498;159065060;5315686;20539179;1470476;0;1470476;0;158052;690;0;157362;0;0;0;0;70364;70364;0;1687;0;4186118;6223268;-2037150;127323498;159065060;1200609
202112;AC;27478;TARAUACA;04902979;BCO DA AMAZONIA S.A.;1;1;189653;189653;0;0;0;0;0;358;0;0;0;;358;11495253;3935712;0;7480296;0;0;0;0;0;0;79245;0;0;0;0;0;0;0;70493152;82178415;2863834;7957113;221904;0;221904;0;142887;0;0;142887;0;0;0;0;32075;32075;0;13568;0;453883;685535;-231653;70493152;82178415;1200609
202112;AC;29074;SENA MADUREIRA;00000000;BCO DO BRASIL S.A.;1;1;1753869;1753869;0;0;0;0;194577;3674603;1340;0;3673263;;0;122916602;45166405;1196835;67999540;0;0;0;0;1669340;0;6884482;0;0;0;0;0;9894;0;36116287;164665830;14698200;21775281;20397516;0;20397516;0;63382450;0;0;63382450;0;0;0;3;37652;37652;0;1493529;0;6764913;8427983;-1663069;36116287;164665830;1200500
202112;AC;29074;SENA MADUREIRA;00360305;CAIXA ECONOMICA FEDERAL;1;1;1570865;1570865;0;0;0;0;0;-24674314;112409;0;0;;-24786723;62643310;31796768;57184;0;0;0;0;0;32582729;278626;0;-1058;-2070938;0;0;0;3081730;0;219891642;262513234;2991580;35141204;1078045;0;1078045;0;177917;900;0;177017;0;0;0;0;59392;59393;0;193;0;3173258;5753528;-2580270;219891642;262513234;1200500
202112;AC;29074;SENA MADUREIRA;04902979;BCO DA AMAZONIA S.A.;1;1;59213;59213;0;0;0;0;0;9817467;0;0;9817467;;0;12680618;7645707;867078;3984511;0;0;0;0;0;0;183322;0;0;0;0;0;0;0;113039691;135596989;9775577;12336587;74817;0;74817;0;1000;0;0;1000;0;0;0;0;385;385;0;12806;0;356126;707124;-350998;113039691;135596989;1200500
202112;AC;29988;PLACIDO DE CASTRO;00000000;BCO DO BRASIL S.A.;1;1;1505748;1505748;0;0;0;0;0;831436;172;0;831264;;0;81100043;23469410;259181;53835384;0;0;0;0;311154;0;3224914;0;0;0;0;0;6596;0;19065839;102509661;5494915;15067184;3518153;0;3518153;0;54284237;0;0;54284237;0;0;0;0;60015;60014;0;686483;0;4332836;5076222;-743386;19065839;102509661;1200385
202112;AC;29988;PLACIDO DE CASTRO;04902979;BCO DA AMAZONIA S.A.;1;1;423653;423653;0;0;0;0;0;0;0;0;0;;0;12096515;7745638;724295;3566484;0;0;0;0;0;0;60098;0;0;0;0;0;0;0;112980983;125501151;5479826;1201380;11534;0;11534;0;5012555;0;0;5012555;0;0;0;0;1234;1234;0;9822;0;803818;903818;-100000;112980983;125501151;1200385
202112;AC;33730;SENADOR GUIOMARD;00000000;BCO DO BRASIL S.A.;1;1;698565;698565;0;0;0;0;193454;1140710;10557;0;1129764;;389;104552321;34261367;904907;62714017;0;0;0;0;1023974;0;5648055;0;0;0;0;0;8245;0;30840705;137433999;10236030;18773196;7418441;0;7418441;0;63782008;0;0;63782008;0;0;0;0;21015;21014;0;884239;0;5478367;6650336;-1171970;30840705;137433999;1200450
202112;AC;33730;SENADOR GUIOMARD;00360305;CAIXA ECONOMICA FEDERAL;1;1;3266707;3266707;0;0;0;0;0;-24203981;0;0;1253;;-24205234;45011745;28960532;115927;0;0;0;0;0;17763172;0;0;-1074;-1826811;0;0;0;148000;0;106706259;130928731;2260278;17715079;788652;0;788652;0;214922;240;0;214682;0;0;0;0;15992;15991;0;1439387;0;1788161;3532722;-1744560;106706259;130928731;1200450
202112;AC;35680;CRUZEIRO DO SUL;00000000;BCO DO BRASIL S.A.;1;1;3986948;3986948;0;0;0;0;0;8067210;30689;0;8036521;;0;287462084;224312736;8746353;8344236;0;0;0;0;5570263;32280;40456217;0;0;0;0;0;40227;0;127656965;427213434;49265758;107030638;24424995;0;24424995;0;80605021;0;0;80605022;0;0;0;0;89162;89162;0;10529140;0;27611754;32378633;-4766879;127656965;427213434;1200203
202112;AC;35680;CRUZEIRO DO SUL;00360305;CAIXA ECONOMICA FEDERAL;1;1;5140895;5140895;0;0;0;0;0;-91950813;567735;0;4226;;-92522775;207770930;143960827;76206;32856;0;0;0;0;73034091;817305;0;-293;-10150062;0;0;0;2786466;0;504905155;628652633;8173591;101707825;3708224;0;3708224;0;496253;1950;0;494303;0;0;0;0;102845;102845;0;623;0;9558119;16382139;-6824020;504905155;628652633;1200203
202112;AC;35680;CRUZEIRO DO SUL;04902979;BCO DA AMAZONIA S.A.;1;1;448255;448255;0;0;0;0;0;379;0;0;0;;379;24026874;11736213;3697987;8564763;0;0;0;0;0;0;27912;0;0;0;0;0;0;0;192425515;216901023;9853328;7275230;119556;0;119556;0;5847006;0;0;5847006;0;0;0;0;2054;2054;0;9201;0;1369133;1598013;-228879;192425515;216901023;1200203
202112;AC;35680;CRUZEIRO DO SUL;60746948;BCO BRADESCO S.A.;1;1;5970502;5970502;0;0;0;0;0;43654891;0;0;43517039;;137853;3006836;2664707;0;0;0;0;0;0;0;0;342129;0;0;0;0;0;0;0;48693525;101325754;6755925;24277652;11322460;0;11322460;0;6150599;0;0;6150599;0;0;0;0;0;0;0;801828;0;3323765;4716659;-1392894;48693525;101325754;1200203
202112;AC;35697;BRASILEIA;00000000;BCO DO BRASIL S.A.;1;1;1237092;1237092;0;0;0;0;0;1097917;0;0;1097917;;0;115107121;27998166;618113;80389973;0;0;0;0;423257;0;5677611;0;0;0;0;0;13192;0;22976773;140432095;9837898;19142770;548299;0;548299;0;81813882;0;0;81813882;0;0;0;0;14945;14946;0;1459284;0;4638244;6242028;-1603784;22976773;140432095;1200104
