Exercício: 2021
Escopo: Estados/DF
Tabela: Receitas Orçamentárias (Anexo I-C)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado da Bahia;29;BA;14930634;"Receitas Brutas Realizadas";"RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I)";"siconfi-cor_ReceitasExcetoIntraOrcamentarias";64812746818,07
Governo do Estado da Bahia;29;BA;14930634;"Receitas Brutas Realizadas";"1.0.0.0.00.0.0 - Receitas Correntes";"siconfi-cor_RO1.0.0.0.00.0.0";63476343108,35
Governo do Estado da Bahia;29;BA;14930634;"Receitas Brutas Realizadas";"1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_RO1.1.0.0.00.0.0";37125700847,59
Governo do Estado da Bahia;29;BA;14930634;"Receitas Brutas Realizadas";"1.1.1.0.00.0.0 - Impostos";"siconfi-cor_RO1.1.1.0.00.0.0";35554502266,96
Governo do Estado da Bahia;29;BA;14930634;"Receitas Brutas Realizadas";"1.1.1.3.00.0.0 - Impostos sobre a Renda e Proventos de Qualquer Natureza";"siconfi-cor_RO1.1.1.3.00.0.0";2586143626,34
Governo do Estado da Bahia;29;BA;14930634;"Receitas Brutas Realizadas";"1.1.1.3.03.0.0 - Imposto sobre a Renda - Retido na Fonte";"siconfi-cor_RO1.1.1.3.03.0.0";2586143626,34
Governo do Estado da Bahia;29;BA;14930634;"Receitas Brutas Realizadas";"1.1.1.3.03.1.0 - Imposto sobre a Renda - Retido na Fonte - Trabalho";"siconfi-cor_RO1.1.1.3.03.1.0";2456603012,29
Governo do Estado da Bahia;29;BA;14930634;"Receitas Brutas Realizadas";"1.1.1.3.03.4.0 - Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos";"siconfi-cor_RO1.1.1.3.03.4.0";129540614,05
Governo do Estado da Bahia;29;BA;14930634;"Receitas Brutas Realizadas";"1.1.1.8.00.0.0 - Impostos Específicos de Estados, DF e Municípios";"siconfi-cor_RO1.1.1.8.00.0.0";32968358640,62
Governo do Estado da Bahia;29;BA;14930634;"Receitas Brutas Realizadas";"1.1.1.8.01.0.0 - Impostos sobre o Patrimônio para Estados/DF/Municípios";"siconfi-cor_RO1.1.1.8.01.0.0";1772091347,36
Governo do Estado da Bahia;29;BA;14930634;"Receitas Brutas Realizadas";"1.1.1.8.01.2.0 - Imposto sobre a Propriedade de Veículos Automotores";"siconfi-cor_RO1.1.1.8.01.2.0";1558163058,34
Governo do Estado da Bahia;29;BA;14930634;"Receitas Brutas Realizadas";"1.1.1.8.01.3.0 - Imposto sobre Transmissão ¿Causa Mortis¿ e Doação de Bens e Direitos";"siconfi-cor_RO1.1.1.8.01.3.0";213928289,02
Governo do Estado da Bahia;29;BA;14930634;"Receitas Brutas Realizadas";"1.1.1.8.02.0.0 - Impostos sobre a Produção, Circulação de Mercadorias e Serviços";"siconfi-cor_RO1.1.1.8.02.0.0";31196267293,26
Governo do Estado da Bahia;29;BA;14930634;"Receitas Brutas Realizadas";"1.1.1.8.02.1.0 - Imposto sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação";"siconfi-cor_RO1.1.1.8.02.1.0";30004498565,05
Governo do Estado da Bahia;29;BA;14930634;"Receitas Brutas Realizadas";"1.1.1.8.02.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza";"siconfi-cor_RO1.1.1.8.02.2.0";1191768728,21
Governo do Estado da Bahia;29;BA;14930634;"Receitas Brutas Realizadas";"1.1.2.0.00.0.0 - Taxas";"siconfi-cor_RO1.1.2.0.00.0.0";1571198580,63
Governo do Estado da Bahia;29;BA;14930634;"Receitas Brutas Realizadas";"1.1.2.1.00.0.0 - Taxas pelo Exercício do Poder de Polícia";"siconfi-cor_RO1.1.2.1.00.0.0";12541662,44
Governo do Estado da Bahia;29;BA;14930634;"Receitas Brutas Realizadas";"1.1.2.1.04.0.0 - Taxa de Controle e Fiscalização Ambiental";"siconfi-cor_RO1.1.2.1.04.0.0";12541662,44
Governo do Estado da Bahia;29;BA;14930634;"Receitas Brutas Realizadas";"1.1.2.8.00.0.0 - Taxas - Específicas de Estados, DF e Municípios";"siconfi-cor_RO1.1.2.8.00.0.0";1558656918,19
Governo do Estado da Bahia;29;BA;14930634;"Receitas Brutas Realizadas";"1.1.2.8.01.0.0 - Taxas de Inspeção, Controle e Fiscalização";"siconfi-cor_RO1.1.2.8.01.0.0";919974318,52
Governo do Estado da Bahia;29;BA;14930634;"Receitas Brutas Realizadas";"1.1.2.8.01.1.0 - Taxa de Fiscalização de Vigilância Sanitária";"siconfi-cor_RO1.1.2.8.01.1.0";27011212,11
