Categoria: Todas as categorias

Cidade,Empreendedor: (19/09/2017 – 19/09/2022)
Castro Alves,100
Camaçari,37
Simões Filho,36
Santo Antônio de Jesus,34
Jacobina,34
Catu,33
Luis Eduardo Magalhães,33
Paulo Afonso,32
Lauro de Freitas,32
Simão Dias,31
Juazeiro,31
Feira de Santana,31
Dias d'Ávila,31
Salvador,31
Arembepe,31
Ipiaú,30
Barreiras,30
Cruz das Almas,29
Brumado,29
Alagoinhas,29
Santo Amaro,28
Valença,28
Jequié,27
Teixeira de Freitas,27
Guanambi,27
Ilhéus,27
Irecê,26
Serrinha,25
Conceição do Coité,25
Vitória da Conquista,25
Senhor do Bonfim,25
Ipirá,25
Porto Seguro,23
Candeias,23
Eunápolis,23
Itapetinga,22
Mata de São João,21
Itabuna,19
São José do Jacuípe,
Capela do Alto Alegre,
Lençóis,
Boa Vista do Tupim,
Quixabeira,
Itambé,
Belmonte,
Capim Grosso,
Prado,
Itacava,
Várzea da Roça,
Mutuípe,
Camamu,
Caculé,
Ruy Barbosa,
Itaberaba,
Sobradinho,
Itororó,
Macaúbas,
Mucuri,
Santana do Sobrado,
Ribeira do Pombal,
Maragogipe,
Ibicuí,
Serra do Ramalho,
Santo Estêvão,
Caetité,
Santaluz,
Riachão do Jacuípe,
Santa Maria da Vitória,
Itiúba,
Esplanada,
Livramento de Nossa Senhora,
Cachoeira,
Itaobim,
Canavieiras,
Euclides da Cunha,
Campo Formoso,
Alcobaça,
Seabra,
Itamaraju,
Ibotirama,
Jaguaquara,
Poções,
Madre de Deus,
Vera Cruz,
Pojuca,
Casa Nova,
Amargosa,
Inhambupe,
Arraial d'Ajuda,
Barra,
Nova Viçosa,
Planalto,
Camacã,
Queimada do Milho,
Itaparica,
Bom Jesus da Lapa,
Povoado Lagedão,
Praia do Forte,
Ibititá,
Itacaré,
Morro do Chapéu,
Oliveira dos Brejinhos,
Itatiaia do Alto Bonito,
Sambaituba,
Santa Cruz Cabrália,
