Categoria: Todas as categorias

Cidade,Empreendedor: (19/09/2017 – 19/09/2022)
Santa Maria de Jetibá,100
Cachoeiro de Itapemirim,75
Viana,71
Colatina,69
Marataízes,69
Vila Velha,67
Serra,65
Nova Venécia,63
Aracruz,61
Vitória,59
Guarapari,59
Pinheiros,53
Linhares,53
Castelo,51
São Mateus,51
Bom Jesus do Itabapoana,47
Venda Nova do Imigrante,44
Santa Leopoldina,
Afonso Cláudio,
Iconha,
Boa Esperança,
Montanha,
Irupi,
Domingos Martins,
Presidente Kennedy,
Vila Valério,
Barra de São Francisco,
Piúma,
Jerônimo Monteiro,
Iúna,
Anchieta,
Ibatiba,
Itapemirim,
Conceição do Castelo,
Guaçuí,
Pedro Canário,
São Gabriel da Palha,
Baixo Guandu,
Ecoporanga,
Atílio Vivácqua,
Santa Teresa,
Alegre,
Alfredo Chaves,
Itaipava,
Mimoso do Sul,
Sooretama,
Jaguaré,
Muniz Freire,
Ibiraçu,
Ponto Belo,
Fundão,
Itaguaçu,
Espera Feliz,
Muqui,
Conceição da Barra,
Mantenópolis,
Sapucaia,
