Categoria: Todas as categorias

Cidade,Empreendedor: (19/09/2017 – 19/09/2022)
Aparecida de Goiânia,100
Minaçu,96
Rio Verde,90
Trindade,87
Goiânia,81
Planaltina,74
Valparaíso de Goiás,71
Goianésia,71
Cidade Ocidental,70
Catalão,69
Inhumas,69
Senador Canedo,68
Morrinhos,65
Anápolis,65
Itumbiara,64
Luziânia,62
Jataí,61
Águas Lindas de Goiás,60
Novo Gama,58
Formosa,56
Caldas Novas,56
Mineiros,54
Santo Antônio do Descoberto,52
Quirinópolis,42
Chapadão do Céu,
Aragoiânia,
Alexânia,
Petrolina de Goiás,
Aruanã,
Guapó,
Jaraguá,
Piranhas,
Pires do Rio,
Hidrolândia,
Iporá,
Caiapônia,
Bela Vista de Goiás,
Jussara,
Cristalina,
Anicuns,
Pirenópolis,
Goiatuba,
Padre Bernardo,
Itaberaí,
Santa Helena de Goiás,
Palmeiras de Goiás,
Uruaçu,
Goianápolis,
Abadiânia,
Nerópolis,
São Luís de Montes Belos,
Três Ranchos,
Bom Jesus de Goiás,
Itapuranga,
Rialma,
Uruana,
Piracanjuba,
Ceres,
Aragarças,
Ipameri,
Silvânia,
Santo Antônio de Goiás,
São Miguel do Araguaia,
Goiás,
Nazário,
Niquelândia,
Acreúna,
Edéia,
Cocalzinho de Goiás,
Abadia de Goiás,
Bonfinópolis,
Cabeceiras,
Itaguaru,
Corumbá de Goiás,
