Categoria: Todas as categorias

Cidade,Empreendedor: (19/09/2017 – 19/09/2022)
Arcoverde,100
Nazaré da Mata,98
Tamandaré,93
Afogados da Ingazeira,92
Serra Talhada,88
Carpina,87
Goiana,86
Paulista,86
São Lourenço da Mata,85
Igarassu,82
Olinda,82
Abreu e Lima,81
Jaboatão dos Guararapes,80
Petrolina,79
Cabo de Santo Agostinho,77
Camaragibe,76
Palmares,75
Bonito,75
Belo Jardim,72
Salgueiro,72
Caruaru,71
Ipojuca,68
Santa Cruz do Capibaribe,67
Recife,67
Escada,67
Pesqueira,65
Bezerros,63
Garanhuns,63
Lajedo,62
Gravatá,59
Barreiros,58
Araripina,56
São José do Egito,55
Vitória de Santo Antão,52
Bom Conselho,48
Surubim,45
Camocim de São Félix,
Trindade,
Tabira,
Paudalho,
Ribeirão,
Moreno,
Cachoeirinha,
Agrestina,
Catende,
Ouricuri,
Calçado,
Sirinhaém,
Toritama,
Glória do Goitá,
Pão de Açucar,
Machados,
São Bento do Una,
Águas Belas,
Ilha de Itamaracá,
Amaraji,
Floresta,
Gameleira,
Custódia,
Pedras de Fogo,
Bodocó,
Orobó,
Buíque,
Brejo da Madre de Deus,
João Alfredo,
Sairé,
Sertânia,
Altinho,
Itapissuma,
Nascente,
Pedra,
Tavares,
