Categoria: Todas as categorias

Cidade,Empreendedor: (19/09/2017 – 19/09/2022)
Sarandi,100
Piraquara,98
Umuarama,97
Ibiporã,95
Cambé,88
Campo Mourão,85
Cornélio Procópio,81
Castro,79
Ponta Grossa,79
Pato Branco,78
Maringá,78
Cianorte,76
Foz do Iguaçu,75
São José dos Pinhais,75
Londrina,75
Guarapuava,74
Porto União,72
Mandaguari,71
Colombo,71
Marechal Cândido Rondon,70
Fazenda Rio Grande,68
Pinhais,68
Araucária,67
Paranaguá,67
Paranavaí,66
Francisco Beltrão,66
Matinhos,65
Apucarana,65
Irati,64
Almirante Tamandaré,64
Lapa,63
Guaratuba,62
Medianeira,61
Curitiba,58
Toledo,57
Arapongas,57
Rolândia,53
Campo Largo,52
Telêmaco Borba,51
Cascavel,50
Honório Serpa,
Ribeira,
Tuneiras do Oeste,
Pranchita,
Primeiro de Maio,
Rio Bonito do Iguaçu,
Antonina,
Santa Tereza do Oeste,
Abatiá,
São João do Ivaí,
Mandirituba,
Coronel Vivida,
Nova Prata do Iguaçu,
Terra Roxa,
Ângulo,
Ipiranga,
Bituruna,
Reserva do Iguaçu,
Wenceslau Braz,
Goioerê,
Ampére,
Tijucas do Sul,
Matelândia,
Barão de Antonina,
Pitanga,
Colorado,
Engenheiro Beltrão,
Contenda,
Loanda,
Mamborê,
Altônia,
Missal,
Barbosa Ferraz,
Curiúva,
Astorga,
Rio Negro,
Quatiguá,
Alexandra,
Laranjeiras do Sul,
Terra Rica,
Assaí,
Santa Maria do Oeste,
Campina Grande do Sul,
São Sebastião da Amoreira,
Sapopema,
Capitão Leônidas Marques,
São Mateus do Sul,
Siqueira Campos,
Ribeirão do Pinhal,
Ribeirão Claro,
Balsa Nova,
Palmas,
Tapira,
Jacarezinho,
Douradina,
Santa Helena,
Arapoti,
Novo Itacolomi,
Jataizinho,
Realeza,
Moreira Sales,
Ubiratã,
Fartura,
Cruzeiro do Oeste,
Dois Vizinhos,
Quitandinha,
Imbituva,
Quatro Barras,
Ouro Verde do Oeste,
Chopinzinho,
Pontal do Paraná,
Santo Antônio do Sudoeste,
Corbélia,
Iporã,
Cruz Machado,
Mariluz,
Joaquim Távora,
Prudentópolis,
Formosa do Oeste,
Jaguariaíva,
Florestópolis,
Nova Londrina,
Bela Vista do Paraíso,
Reserva,
Palmeira,
Palotina,
Nova Aurora,
São José da Boa Vista,
Clevelândia,
Jandaia do Sul,
Tamarana,
Rio Branco do Sul,
Andirá,
Assis Chateaubriand,
Ibaiti,
Santo Antônio da Platina,
Nova Fátima,
Quedas do Iguaçu,
Piraí do Sul,
Céu Azul,
Sertanópolis,
Ivaiporã,
Itaperuçu,
Marialva,
São João,
Carambeí,
Rio Azul,
Agudos do Sul,
Roseira,
Mandaguaçu,
Iguaraçu,
Bandeirantes,
Ortigueira,
Porecatu,
Campo Magro,
Tapejara,
Paiçandu,
Nova Esperança,
Peabiru,
Capanema,
Planalto,
Manoel Ribas,
Araruna,
Pérola,
Jussara,
Tibagi,
Rondon,
Bocaiúva do Sul,
Guaíra,
Dionísio Cerqueira,
Três Barras do Paraná,
Palmital,
Itapejara D'Oeste,
Santa Terezinha de Itaipu,
Cambará,
Turvo,
Terra Boa,
Campina da Lagoa,
Mauá da Serra,
Santa Mariana,
Salto do Lontra,
Morretes,
Uraí,
Ivaté,
Tomazina,
Renascença,
Nova Cantu,
Entre Rios do Oeste,
Jesuítas,
Sengés,
Porto Rico,
Paulo Frontin,
Congonhinhas,
