Categoria: Todas as categorias

Cidade,Empreendedor: (19/09/2017 – 19/09/2022)
Santiago,100
Estrêla,98
Santa Rosa,92
Esteio,91
São Borja,90
Bento Gonçalves,89
Frederico Westphalen,85
Bagé,82
Panambi,82
Canoas,82
Santa Cruz do Sul,82
Montenegro,81
Carazinho,79
Lajeado,78
Uruguaiana,73
Canela,71
Rio Grande,71
São Gabriel,71
Osório,71
Taquara,70
Caxias do Sul,70
Novo Hamburgo,69
Sapucaia do Sul,69
Cachoeirinha,68
Santo Ângelo,68
Santana do Livramento,68
Ijuí,68
Teutônia,66
Estância Velha,66
São Leopoldo,65
Campo Bom,64
Encantado,64
Gravataí,63
Xangri-Lá,63
Pelotas,62
Guaíba,61
Erechim,61
Alvorada,60
Passo Fundo,59
Torres,59
Camaquã,59
Viamão,58
Vacaria,57
Alegrete,56
Farroupilha,55
Venâncio Aires,54
Santa Maria,54
Gramado,53
Cachoeira do Sul,52
Tramandaí,51
Sapiranga,51
Porto Alegre,50
Arroio do Sal,50
Cruz Alta,42
Itapuã,
Tamanduá,
Salto do Jacuí,
Tapes,
Brochier,
Bom Jesus,
Victor Graeff,
Capivari do Sul,
Arroio dos Ratos,
Riozinho,
Três de Maio,
Chapada,
São João da Urtiga,
Porto Lucena,
Santa Maria do Herval,
Nonoai,
Três Coroas,
Cruzeiro do Sul,
Campina das Missões,
Nova Santa Rita,
Balneário Pinhal,
Nova Araçá,
Santa Bárbara do Sul,
Faxinal do Soturno,
Cerro Largo,
Taquari,
Eldorado do Sul,
Sobradinho,
Machadinho,
Bom Princípio,
Terra de Areia,
Sananduva,
Nova Roma do Sul,
Jaguarão,
Herval,
Ametista do Sul,
Itapiranga,
Catuípe,
Dom Pedrito,
Lagoa Vermelha,
Fortaleza dos Valos,
Rio Pardo,
Cidreira,
Santa Vitória do Palmar,
Santo Augusto,
Vale Real,
Crissiumal,
Rosário do Sul,
Mondaí,
Tapejara,
São Francisco de Assis,
Arroio do Tigre,
Salvador do Sul,
Itaqui,
Parobé,
Águas Claras,
Três Passos,
São Sebastião do Caí,
Progresso,
Restinga Seca,
Carlos Barbosa,
Horizontina,
Soledade,
Santo Cristo,
Serafina Corrêa,
Arroio do Meio,
São Jerônimo,
Capela de Santana,
Getúlio Vargas,
Ivoti,
Não-Me-Toque,
Flores da Cunha,
Ibirubá,
Tupanciretã,
Guaporé,
Nova Hartz,
Araricá,
Vila Maria,
Garibaldi,
Nova Petrópolis,
São Marcos,
Triunfo,
Igrejinha,
Charqueadas,
São Francisco de Paula,
Nova Prata,
Rolante,
Candelária,
Palmeira das Missões,
Santo Antônio da Patrulha,
Glorinha,
Caçapava do Sul,
Quaraí,
Pinheiro Machado,
Tapera,
Espumoso,
Paverama,
Porto Xavier,
Cândido Godói,
São José do Ouro,
São Luiz Gonzaga,
Imbé,
Dois Irmãos,
Tenente Portela,
Feliz,
Encruzilhada do Sul,
Butiá,
Bom Retiro do Sul,
Sarandi,
São Pedro do Sul,
Portão,
Tucunduva,
Iraí,
Júlio de Castilhos,
Marau,
Praia Grande,
Agudo,
São Lourenço do Sul,
São Sepé,
Canguçu,
Veranópolis,
Ronda Alta,
Giruá,
Cacequi,
Palmares do Sul,
Antônio Prado,
Augusto Pestana,
Barra do Ribeiro,
São Miguel das Missões,
Santo Antônio das Missões,
São Vicente do Sul,
Colônia Nova,
Nova Bréscia,
Bossoroca,
Vale Verde,
Barra do Quaraí,
Tuparendi,
Ipê,
