Categoria: Todas as categorias

Cidade,Empreendedor: (19/09/2017 – 19/09/2022)
Camboriú,100
Biguaçu,98
Curitibanos,90
Campos Novos,89
Rio do Sul,81
Mafra,81
Itajaí,80
Balneário Camboriú,78
Joaçaba,78
Blumenau,76
São José,75
Piçarras,74
Porto Belo,74
Jaraguá do Sul,74
Tijucas,73
São João Batista,73
Santo Amaro da Imperatriz,72
Itapema,72
Penha,71
Indaial,71
Palhoça,71
Araranguá,70
São Francisco do Sul,69
São Bento do Sul,69
Navegantes,68
São Miguel do Oeste,67
Porto União,66
Canoinhas,66
Gaspar,65
Videira,64
Brusque,64
Xanxerê,63
Joinville,63
Chapecó,60
Tubarão,60
Florianópolis,59
Timbó,58
Criciúma,57
Içara,56
Torres,56
Lages,56
Concórdia,55
Caçador,53
Imbituba,50
Benedito Novo,
Anita Garibaldi,
Ouro,
Leão,
Dona Emma,
São José do Cedro,
Schroeder,
Quinta dos Ganchos,
Campo Erê,
Barra Velha,
Luiz Alves,
Rodeio,
Cunha Porã,
Agronômica,
Forquilhinha,
Orleans,
Santa Rosa do Sul,
Monte Carlo,
Antônio Carlos,
Corupá,
Garuva,
Otacílio Costa,
São Pedro,
Ponte Alta,
Luzerna,
Treze Tílias,
Pomerode,
Rio Negro,
Urubici,
Itapiranga,
Garopaba,
Ascurra,
Mondaí,
Sombrio,
Maravilha,
Pinhalzinho,
Ituporanga,
Agrolândia,
Tangará,
Morro da Fumaça,
Bombinhas,
Campo Belo do Sul,
Itapoá,
Saudades,
Taipa,
Armazém,
Papanduva,
Taió,
Monte Castelo,
Ibirama,
Fraiburgo,
Petrolândia,
Imbuia,
Abelardo Luz,
Timbó Grande,
Jaguaruna,
Xaxim,
Braço do Norte,
Modelo,
Turvo,
Balneário Gaivota,
Capinzal,
Iomerê,
Laguna,
Rio Negrinho,
São Carlos,
São Lourenço do Oeste,
Guaramirim,
Irineópolis,
Presidente Getúlio,
Salete,
Praia Grande,
Lauro Muller,
Santa Cecília,
Balneário Rincão,
Dionísio Cerqueira,
São Joaquim,
Balneário Barra do Sul,
Itaiópolis,
Correia Pinto,
Rio dos Cedros,
Urussanga,
Palmitos,
Vitor Meireles,
Chapadão do Lageado,
Marechal Bormann,
Três Barras,
Iporã do Oeste,
Caibi,
Passo de Torres,
