Category: All categories

City,empreendedora: (9/15/17 - 9/15/22)
Feira de Santana,100
Jacobina,94
Salvador,75
Quixabeira,
Várzea da Roça,
Caculé,
Alcobaça,
Riachão do Jacuípe,
Castro Alves,
Ipiaú,
Mutuípe,
Itiúba,
Livramento de Nossa Senhora,
Ribeira do Pombal,
Itapetinga,
Itamaraju,
Santa Maria da Vitória,
Santaluz,
Simões Filho,
Jaguaquara,
Ilhéus,
Itaberaba,
Candeias,
Campo Formoso,
Caetité,
Amargosa,
Juazeiro,
Casa Nova,
Santo Antônio de Jesus,
Guanambi,
Capim Grosso,
Barreiras,
Paulo Afonso,
Jequié,
Lauro de Freitas,
Santo Amaro,
Dias d'Ávila,
Vitória da Conquista,
Pojuca,
Camaçari,
Serrinha,
Itabuna,
Eunapolis,
Mata de São João,
Irecê,
Senhor do Bonfim,
Porto Seguro,
Teixeira de Freitas,
Alagoinhas,
Itacava,
Sobradinho,
Itaparica,
Macaúbas,
Barra,
Ipirá,
Prado,
Euclides da Cunha,
Bom Jesus da Lapa,
Cruz das Almas,
Catu,
Luis Eduardo Magalhães,
Arembepe,
Conceição do Coité,
Valença,
Brumado,
Seabra,
Nova Viçosa,
Serra do Ramalho,
Cachoeira,
Canavieiras,
Esplanada,
Camacan,
Poções,
Santo Estêvão,
Ibotirama,
Queimada do Milho,
Ibititá,
Inhambupe,
Camamu,
Capela do Alto Alegre,
Belmonte,
