Category: All categories

City,empreendedora: (9/15/17 - 9/15/22)
Vila Velha,100
Vitoria,85
Serra,64
Jaguaré,
Presidente Kennedy,
Sooretama,
Pinheiros,
Baixo Guandu,
Santa Teresa,
Santa Maria de Jetibá,
Marataízes,
Guarapari,
Cachoeiro de Itapemirim,
Aracruz,
Colatina,
Viana,
São Mateus,
Linhares,
Sapucaia,
Itapemirim,
Vila Valério,
Anchieta,
Ibatiba,
São Gabriel da Palha,
Itaipava,
Nova Venécia,
Afonso Cláudio,
Piúma,
Boa Esperança,
Iúna,
Ibiraçu,
Ponto Belo,
Castelo,
Espera Feliz,
Barra de São Francisco,
