Category: All categories

City,empreendedora: (9/15/17 - 9/15/22)
Aparecida de Goiânia,100
Goiânia,76
Anápolis,72
Petrolina de Goiás,
Abadia de Goiás,
Caiapônia,
Palmeiras de Goiás,
Piracanjuba,
Piranhas,
Goiás,
Ipameri,
Jaraguá,
Morrinhos,
Planaltina,
Pires do Rio,
Silvânia,
Ceres,
Nerópolis,
Itaberaí,
Santa Helena de Goiás,
Rio Verde,
Catalão,
Trindade,
Iporá,
Uruaçu,
Águas Lindas de Goiás,
Caldas Novas,
Cidade Ocidental,
Formosa,
Goianésia,
Valparaíso de Goiás,
Novo Gama,
Jataí,
Luziânia,
Senador Canedo,
Chapadão do Céu,
Bom Jesus de Goiás,
Minaçu,
Santo Antônio do Descoberto,
São Luís de Montes Belos,
Inhumas,
Mineiros,
Itumbiara,
Padre Bernardo,
Anicuns,
Goiatuba,
Alexânia,
Aragarças,
Santo Antônio de Goiás,
Guapó,
Cristalina,
Itapuranga,
Cocalzinho de Goiás,
Hidrolândia,
Quirinópolis,
Edéia,
Pirenópolis,
