Category: All categories

City,empreendedora: (9/15/17 - 9/15/22)
Caruaru,100
Petrolina,98
Jaboatão dos Guararapes,96
Recife,73
Belo Jardim,55
Gameleira,
Araripina,
Pedras de Fogo,
Águas Belas,
Orobó,
Catende,
Monstrance,
Calçado,
Trindade,
Escada,
Nazaré da Mata,
Goiana,
Serra Talhada,
Bezerros,
Vitória de Santo Antão,
Bonito,
Afogados da Ingazeira,
Camaragibe,
Santa Cruz do Capibaribe,
Paulista,
Palmares,
Moreno,
Carpina,
Cabo de Santo Agostinho,
Olinda,
Gravatá,
São Lourenço da Mata,
Igarassu,
Ipojuca,
Agrestina,
Buíque,
Ouricuri,
São José do Egito,
João Alfredo,
Ribeirão,
Lajedo,
Pesqueira,
Arcoverde,
Abreu e Lima,
Barreiros,
Salgueiro,
Garanhuns,
Bodocó,
Sirinhaém,
Brejo da Madre de Deus,
São Bento do Una,
Altinho,
Floresta,
Ilha de Itamaracá,
Tamandaré,
Paudalho,
Camocim de São Félix,
Inajá,
Surubim,
Nascente,
Bom Conselho,
