Category: All categories

City,empreendedora: (9/15/17 - 9/15/22)
Curitiba,100
Maringá,84
Cascavel,83
Londrina,82
Novo Itacolomi,
Ivaté,
Morretes,
Manoel Ribas,
Mariluz,
Nova Cantu,
Terra Boa,
Ouro Verde do Oeste,
Barbosa Ferraz,
Quatiguá,
Jataizinho,
Wenceslau Braz,
Dois Vizinhos,
Ibaiti,
Jesuítas,
Cruzeiro do Oeste,
Joaquim Távora,
Bituruna,
Ampére,
Capanema,
Campo Magro,
Loanda,
Coronel Vivida,
Pitanga,
Colorado,
Nova Londrina,
Jacarezinho,
Siqueira Campos,
Ubiratã,
Santa Helena,
Cambará,
Rio Negro,
Marechal Cândido Rondon,
Ivaiporã,
Guaratuba,
Lapa,
Prudentópolis,
Santo Antônio da Platina,
Paranaguá,
Campo Mourão,
Bandeirantes,
Quatro Barras,
Guarapuava,
Mandaguaçu,
Colombo,
Goioerê,
São Mateus do Sul,
Cambé,
Palmeira,
Toledo,
Rolândia,
Nova Esperança,
Pontal do Paraná,
São José dos Pinhais,
Pato Branco,
Almirante Tamandaré,
Mandaguari,
Araucária,
Francisco Beltrão,
Ponta Grossa,
Fazenda Rio Grande,
Arapongas,
Campo Largo,
Apucarana,
Umuarama,
Medianeira,
Piraquara,
Sarandi,
Pinhais,
Telêmaco Borba,
Porto União,
Paranavaí,
Santa Maria do Oeste,
Iguaraçu,
Nova Fátima,
Florestópolis,
Itapejara D'Oeste,
Roseira,
São João,
Curiúva,
Assaí,
Itaperuçu,
Tapira,
Santo Antônio do Sudoeste,
Rondon,
Astorga,
Andirá,
Carambeí,
Cornélio Procópio,
Irati,
Castro,
Campina Grande do Sul,
Foz do Iguaçu,
Cianorte,
Matinhos,
Palotina,
Assis Chateaubriand,
Laranjeiras do Sul,
Marialva,
Palmas,
Turvo,
Mandirituba,
Sengés,
Ibiporã,
Tapejara,
Pérola,
Quedas do Iguaçu,
São João do Ivaí,
Ribeirão Claro,
Santa Tereza do Oeste,
Bocaiúva do Sul,
Santa Terezinha de Itaipu,
Rio Branco do Sul,
Capitão Leônidas Marques,
Antonina,
Clevelândia,
Corbélia,
Arapoti,
Paiçandu,
Guaíra,
Quitandinha,
Jaguariaíva,
Douradina,
Ortigueira,
Piraí do Sul,
Iporã,
Formosa do Oeste,
