Category: All categories,
City,empreendedora: (9/15/17 - 9/15/22)
Queimados,100
Macaé,69
Duque de Caxias,68
Barra Mansa,68
Niterói,58
Nova Iguaçu,53
Rio de Janeiro,50
São Gonçalo,46
Conservatória,
Varre-Sai,
São José do Vale do Rio Preto,
Miguel Pereira,
Bom Jardim,
Sapucaia,
Mendes,
Além Paraíba,
Bom Jesus do Itabapoana,
Vassouras,
Três Rios,
Arraial do Cabo,
Maricá,
Casimiro de Abreu,
São João da Barra,
Rio das Ostras,
Paracambi,
Itatiaia,
Teresópolis,
Iguaba Grande,
Itaboraí,
Santo Antônio de Pádua,
Seropédica,
Magé,
Valença,
Nova Friburgo,
Japeri,
São João de Meriti,
São Pedro da Aldeia,
Rio Bonito,
Barra do Piraí,
Mesquita,
Cachoeiras de Macacu,
Petrópolis,
Nilópolis,
Belford Roxo,
Cabo Frio,
Itaperuna,
Campos,
Volta Redonda,
Itaguaí,
Araruama,
Taquari,
Trajano de Morais,
Cambuci,
Cantagalo,
Conceição de Macabu,
Carmo,
Cardoso Moreira,
Resende,
São Fidélis,
Cordeiro,
Saquarema,
Pinheiral,
Angra dos Reis,
Paraty,
Miracema,
Mangaratiba,
Quissamã,
Guapimirim,
Paraíba do Sul,
Armação dos Búzios,
Porto Real,
Areal,
Itaocara,
São Francisco de Itabapoana,
Piraí,
Silva Jardim,
Paty do Alferes,
Tanguá,
Engenheiro Paulo de Frontin,
Comendador Levy Gasparian,
