Category: All categories,
City,empreendedora: (9/15/17 - 9/15/22)
Caxias do Sul,100
Porto Alegre,61
Santa Maria,59
Passo Fundo,43
Itapuã,
Vila Maria,
São Vicente do Sul,
Encruzilhada do Sul,
Cidreira,
Carlos Barbosa,
São Francisco de Assis,
Crissiumal,
Bom Retiro do Sul,
Dom Pedrito,
Parobé,
Santa Vitoria do Palmar meteorite,
São Borja,
Igrejinha,
Itapiranga,
Três de Maio,
Canguçu,
Sananduva,
Nova Hartz,
Cruz Alta,
Farroupilha,
Lagoa Vermelha,
Encantado,
Portão,
Campo Bom,
Uruguaiana,
Itaqui,
Cachoeira do Sul,
Carazinho,
Erechim,
Gravataí,
Venâncio Aires,
Canoas,
Rio Grande,
Santana do Livramento,
Panambi,
Santa Cruz do Sul,
Garibaldi,
São Leopoldo,
Ijuí,
Lajeado,
Alvorada,
Bagé,
Taquara,
Esteio,
Pelotas,
Santa Rosa,
Frederico Westphalen,
Sapiranga,
Guaíba,
Montenegro,
Viamão,
Cachoeirinha,
Alegrete,
Bento Gonçalves,
Novo Hamburgo,
Arroio do Sal,
Torres,
Chapada,
Tucunduva,
Pinheiro Machado,
Progresso,
Campina das Missões,
Vale Real,
Palmares do Sul,
São Francisco de Paula,
Santo Cristo,
Cerro Largo,
Salvador do Sul,
Soledade,
Restinga Seca,
Santo Antônio da Patrulha,
Jaguarão,
Gramado,
Butiá,
Taquari,
Tramandaí,
Teutônia,
Caçapava do Sul,
Sapucaia do Sul,
Santiago,
Xangri-Lá,
Santo Ângelo,
Vacaria,
Nova Prata,
Camaquã,
São Gabriel,
Júlio de Castilhos,
São Lourenço do Sul,
São Luiz Gonzaga,
Nova Petrópolis,
Ibirubá,
Osório,
Triunfo,
Faxinal do Soturno,
Salto do Jacuí,
Nonoai,
Porto Xavier,
Estância Velha,
Tenente Portela,
Agudo,
Santa Bárbara do Sul,
São Jerônimo,
Tapejara,
Sobradinho,
Iraí,
Santo Antônio das Missões,
Tupanciretã,
Tapera,
Serafina Corrêa,
Palmeira das Missões,
Não-Me-Toque,
Estrela,
Imbé,
Espumoso,
Quaraí,
Giruá,
Ivoti,
Cruzeiro do Sul,
Flores da Cunha,
Nova Santa Rita,
Capivari do Sul,
Canela,
Sarandi,
Santo Augusto,
Três Coroas,
Getúlio Vargas,
Santa Maria do Herval,
São Sepé,
