Category: All categories

City,empreendedora: (9/15/17 - 9/15/22)
Florianópolis,100
Blumenau,77
Joinville,75
Jaraguá do Sul,58
Irineópolis,
Rodeio,
Agronômica,
Sombrio,
Balneário Rincão,
Presidente Getúlio,
Treze Tílias,
Ituporanga,
São José do Cedro,
Maravilha,
Balneário Barra do Sul,
Itapoá,
Correia Pinto,
Orleans,
Caçador,
Balneário Gaivota,
Santo Amaro da Imperatriz,
Içara,
Videira,
Rio Negro,
São Lourenço do Oeste,
Navegantes,
São Francisco do Sul,
Concórdia,
Barra Velha,
Tijucas,
Braço do Norte,
Camboriú,
Chapecó,
São Bento do Sul,
Criciúma,
Itapema,
São João Batista,
Itajaí,
São José,
Xanxerê,
Timbó,
Imbituba,
Guaramirim,
Indaial,
Joaçaba,
São Miguel do Oeste,
Tubarão,
Porto Belo,
Brusque,
Balneário Camboriú,
Laguna,
Lages,
Gaspar,
Araranguá,
Rio do Sul,
Palhoça,
Porto União,
São Pedro,
Caibi,
Armazém,
São Joaquim,
Palmitos,
Morro da Fumaça,
Mondaí,
Biguaçu,
Campos Novos,
Garopaba,
Pomerode,
Mafra,
Jaguaruna,
Pinhalzinho,
Capinzal,
Piçarras,
Canoinhas,
Santa Cecília,
Taió,
Curitibanos,
Xaxim,
Luzerna,
Campo Erê,
Otacílio Costa,
Rio Negrinho,
Urubici,
Salete,
Marechal Bormann,
Agrolândia,
Schroeder,
Bombinhas,
Dona Emma,
Garuva,
Tangará,
Iporã do Oeste,
Três Barras,
Vitor Meireles,
Ibirama,
Monte Castelo,
Itapiranga,
São Carlos,
Penha,
Itaiópolis,
Turvo,
Fraiburgo,
