Category: All categories

City,empreendedora: (9/15/17 - 9/15/22)
Jundiaí,100
Araçariguama,85
Várzea Paulista,75
Barueri,47
Santana de Parnaíba,47
São José dos Campos,43
Osasco,35
Ribeirão Preto,35
Piracicaba,34
Carapicuiba,34
São Paulo,33
São Bernardo do Campo,33
Itaquaquecetuba,33
Mogi das Cruzes,33
Santos,33
Franca,33
Sorocaba,32
Campinas,31
Diadema,30
Santo André,29
Indaiatuba,29
Mauá,26
Sao Jose do Rio Preto,25
Guarujá,24
Francisco Morato,16
Pindamonhangaba,11
Praia Grande,9
Rafard,
Pedro de Toledo,
Junqueirópolis,
Pardinho,
Bernardino de Campos,
Pereiras,
Capelinha,
Ilha Solteira,
Orlândia,
Paranapanema,
Álvares Machado,
Espírito Santo do Pinhal,
Dracena,
Piedade,
Laranjal Paulista,
Holambra,
Tupã,
Santa Gertrudes,
Engenheiro Coelho,
Artur Nogueira,
Cravinhos,
Promissão,
Jardinópolis,
Alumínio,
Amparo,
Garça,
São Sebastião,
Severínia,
Iperó,
Ilhabela,
Juquitiba,
Tremembé,
Votorantim,
Votuporanga,
São Pedro,
Pedreira,
Itupeva,
Cruzeiro,
Boituva,
Louveira,
Rio Grande da Serra,
Guaíra,
Jaguariúna,
Araçoiaba da Serra,
Andradina,
Araras,
Mogi Mirim,
São Joaquim da Barra,
Poá,
Assis,
Guaratinguetá,
Penápolis,
Bebedouro,
Valinhos,
Campo Limpo Paulista,
Rio Claro,
Cabreúva,
São Carlos,
Barretos,
Peruíbe,
Santa Isabel,
Botucatu,
Pirassununga,
Vargem Grande Paulista,
Santa Cruz do Rio Pardo,
Ourinhos,
Itatiba,
Jacareí,
Campos do Jordão,
São Roque,
Sertãozinho,
Embu-Guaçu,
Bauru,
Arujá,
Cotia,
Nova Odessa,
Franco da Rocha,
Caieiras,
Guariba,
Cajamar,
Lins,
São João da Boa Vista,
Limeira,
Mairiporã,
Itapevi,
Avaré,
Mirassol,
Ribeirão Pires,
Leme,
Santa Bárbara D'Oeste,
Jaú,
Cerquilho,
Araraquara,
Catanduva,
Itapecerica da Serra,
Sumaré,
Batatais,
Embu das Artes,
São Vicente,
Birigui,
Caçapava,
Lorena,
Araçatuba,
Tietê,
Itapira,
Marília,
Tatuí,
Suzano,
Hortolândia,
Presidente Prudente,
Vinhedo,
Mogi-Guaçu,
Mococa,
Cubatão,
Americana,
Caraguatatuba,
Itapetininga,
Itanhaém,
Matão,
Itu,
Taubaté,
Ubatuba,
Lençóis Paulista,
Bragança Paulista,
Atibaia,
São Caetano do Sul,
Salto,
Paulinia,
Macaubal,
Iepê,
Águas de Santa Bárbara,
Vista Alegre do Alto,
Itaporanga,
Vera Cruz,
São Luís do Paraitinga,
Teodoro Sampaio,
Echaporã,
Estrela D'Oeste,
Buri,
Guareí,
Santa Adélia,
Mirante do Paranapanema,
Ouroeste,
Igaraçu do Tietê,
Pindorama,
Monte Alto,
Viradouro,
Itaí,
José Bonifácio,
Descalvado,
Iguape,
Iracemápolis,
Cesário Lange,
Rio das Pedras,
Pontal,
Pirapozinho,
Cajati,
Lindóia,
Cachoeira Paulista,
Itapeva,
Santa Fé do Sul,
Itararé,
Mairinque,
Barra Bonita,
Porto Feliz,
Taquaritinga,
Jales,
Jaboticabal,
Registro,
Jarinu,
Itápolis,
Mongaguá,
Presidente Epitácio,
