Categoria: Todas as categorias

Cidade,Empreendedorismo: (19/09/2017 – 19/09/2022)
Castro Alves,100
Seabra,42
Simão Dias,41
Cachoeira,38
Juazeiro,38
Catu,34
Santo Amaro,34
Santo Antônio de Jesus,32
Alagoinhas,32
Jacobina,32
Conceição do Coité,32
Simões Filho,31
Camaçari,31
Eunápolis,30
Campo Formoso,30
Barreiras,30
Paulo Afonso,29
Feira de Santana,28
Pojuca,28
Cruz das Almas,27
Senhor do Bonfim,27
Santo Estêvão,27
Lauro de Freitas,26
Ilhéus,25
Salvador,25
Bom Jesus da Lapa,24
Dias d'Ávila,24
Itaberaba,23
Jequié,23
Itapetinga,22
Ipiaú,22
Guanambi,22
Teixeira de Freitas,22
Vitória da Conquista,22
Irecê,21
Luis Eduardo Magalhães,21
Porto Seguro,20
Itabuna,19
Brumado,16
Quixabeira,
Lençóis,
Itatiaia do Alto Bonito,
Povoado Lagedão,
Santana do Sobrado,
Ipirá,
Ruy Barbosa,
Macaúbas,
Capela do Alto Alegre,
Riachão do Jacuípe,
Capim Grosso,
Santa Maria da Vitória,
Itacaré,
Sobradinho,
Caculé,
Maragogipe,
Barra,
Várzea da Roça,
Valença,
Ribeira do Pombal,
Ibotirama,
Caetité,
Itororó,
Oliveira dos Brejinhos,
Serrinha,
Casa Nova,
Arembepe,
Serra do Ramalho,
Santaluz,
Esplanada,
Candeias,
Livramento de Nossa Senhora,
Madre de Deus,
Mutuípe,
Inhambupe,
Prado,
Canavieiras,
Jaguaquara,
Camacã,
Vera Cruz,
Euclides da Cunha,
Itamaraju,
Amargosa,
Itaparica,
Nova Viçosa,
Mata de São João,
Poções,
Praia do Forte,
Belmonte,
Camamu,
Itiúba,
Arraial d'Ajuda,
Itacava,
Planalto,
Ibititá,
Morro do Chapéu,
Ibicuí,
Santa Cruz Cabrália,
Alcobaça,
