Category: All categories

City,empreendedorismo: (9/19/17 - 9/19/22)
Itumbiara,100
Cidade Ocidental,96
Inhumas,91
Novo Gama,91
Luziânia,88
Rio Verde,86
Valparaíso de Goiás,86
Caldas Novas,84
Jataí,80
Cristalina,79
Anápolis,79
Aparecida de Goiânia,78
Catalão,73
Goiânia,72
Senador Canedo,71
Águas Lindas de Goiás,69
Corumbá de Goiás,
Chapadão do Céu,
Petrolina de Goiás,
Goiás,
Abadia de Goiás,
Minaçu,
Padre Bernardo,
Uruana,
Piranhas,
Hidrolândia,
Santo Antônio do Descoberto,
Goiatuba,
Acreúna,
Ipameri,
São Miguel do Araguaia,
Itapuranga,
Nazário,
Planaltina,
Goianésia,
Pires do Rio,
Quirinópolis,
Pirenópolis,
Ceres,
Morrinhos,
Jaraguá,
Trindade,
Nerópolis,
Santa Helena de Goiás,
Jussara,
Guapó,
Uruaçu,
Rialma,
Niquelândia,
Anicuns,
Mineiros,
Alexânia,
Itaberaí,
Edéia,
Formosa,
São Luís de Montes Belos,
Palmeiras de Goiás,
Iporá,
Bom Jesus de Goiás,
Piracanjuba,
Caiapônia,
Aragarças,
Silvânia,
Bela Vista de Goiás,
Cabeceiras,
Goianápolis,
Aruanã,
Bonfinópolis,
Abadiânia,
Aragoiânia,
