Category: All categories

City,empreendedorismo: (9/19/17 - 9/19/22)
Santa Rita,100
Campina Grande,98
Cabedelo,82
Sousa,81
João Pessoa,80
Patos,78
Itabaiana,
Conde,
Uiraúna,
Aroeiras,
Juazeirinho,
Mamanguape,
Lucena,
Ingá,
Esperança,
Alagoa Grande,
Pedras de Fogo,
Icó,
São João do Rio do Peixe,
Bayeux,
Cajazeiras,
São José de Piranhas,
Belém,
Piancó,
Orobó,
Monteiro,
Cuité,
Catolé do Rocha,
Queimadas,
Areia,
Mari,
Guarabira,
São José da Lagoa Tapada,
Tavares,
Coremas,
Pombal,
Boa Vista,
Riacho de Santo Antônio,
Teixeira,
