Categoria: Todas as categorias

Cidade,Empreendedorismo: (19/09/2017 – 19/09/2022)
Altinho,100
Nazaré da Mata,63
Goiana,58
Carpina,56
Escada,52
São José do Egito,49
Serra Talhada,48
São Lourenço da Mata,48
Palmares,48
Petrolina,47
Paulista,46
Belo Jardim,46
Pesqueira,45
Camaragibe,45
Ipojuca,45
Bonito,45
Cabo de Santo Agostinho,45
Bom Conselho,45
Bezerros,44
Lajedo,42
Abreu e Lima,41
Araripina,41
Vitória de Santo Antão,41
Olinda,40
Garanhuns,40
Caruaru,40
Jaboatão dos Guararapes,39
Igarassu,37
Barreiros,37
Tamandaré,34
Recife,34
Surubim,32
Gravatá,30
Santa Cruz do Capibaribe,28
Ribeirão,25
Calçado,9
Buíque,
Camocim de São Félix,
Cachoeirinha,
Nascente,
Amaraji,
Afogados da Ingazeira,
Catende,
Moreno,
Trindade,
Paudalho,
Ouricuri,
Orobó,
Ilha de Itamaracá,
São Bento do Una,
Salgueiro,
Sertânia,
Pedras de Fogo,
Machados,
Sirinhaém,
Floresta,
Sairé,
Toritama,
Águas Belas,
Arcoverde,
Gameleira,
Custódia,
Pão de Açucar,
Glória do Goitá,
João Alfredo,
Agrestina,
Brejo da Madre de Deus,
Tabira,
Itapissuma,
Bodocó,
Iati,
Serrolândia,
Inajá,
Baixa Grande,
