Category: All categories

City,empreendedorismo: (9/19/17 - 9/19/22)
Campo Mourão,100
Paranavaí,97
Pato Branco,91
Toledo,89
Porto União,84
Guarapuava,77
Cascavel,76
Maringá,75
Umuarama,74
Pinhais,71
Apucarana,70
São José dos Pinhais,69
Ponta Grossa,68
Fazenda Rio Grande,68
Paranaguá,68
Londrina,66
Foz do Iguaçu,62
Curitiba,60
Colombo,57
Telêmaco Borba,57
Araucária,56
Piraquara,56
Francisco Beltrão,55
Arapongas,52
Cambé,52
Sarandi,50
Almirante Tamandaré,48
Campo Largo,47
Alexandra,
Tuneiras do Oeste,
Ouro Verde do Oeste,
São José da Boa Vista,
Céu Azul,
Porto Rico,
Honório Serpa,
Nova Cantu,
Formosa do Oeste,
Antonina,
Santa Mariana,
Planalto,
Sengés,
São João,
Manoel Ribas,
São Sebastião da Amoreira,
Tamarana,
Tapejara,
Florestópolis,
Terra Rica,
Nova Londrina,
Corbélia,
Iguaraçu,
Wenceslau Braz,
Nova Esperança,
Jaguariaíva,
Jandaia do Sul,
Nova Prata do Iguaçu,
Assis Chateaubriand,
Arapoti,
São Mateus do Sul,
Capanema,
Carambeí,
Curiúva,
Balsa Nova,
Mamborê,
Goioerê,
Pérola,
Mandirituba,
Quatiguá,
Ubiratã,
Campo Magro,
Cornélio Procópio,
Palotina,
Primeiro de Maio,
Itapejara D'Oeste,
Matelândia,
Palmeira,
Tibagi,
Cruzeiro do Oeste,
Roseira,
Imbituva,
Douradina,
Palmas,
Dois Vizinhos,
Fartura,
Ibaiti,
Capitão Leônidas Marques,
Assaí,
Loanda,
Medianeira,
Santa Helena,
Bituruna,
Sertanópolis,
Bocaiúva do Sul,
Quatro Barras,
São João do Ivaí,
Joaquim Távora,
Irati,
Rio Azul,
Terra Roxa,
Mandaguaçu,
Bandeirantes,
Três Barras do Paraná,
Prudentópolis,
Lapa,
Castro,
Peabiru,
Matinhos,
Cianorte,
Ipiranga,
Marechal Cândido Rondon,
Andirá,
Siqueira Campos,
Ibiporã,
Santo Antônio da Platina,
Araruna,
Pitanga,
Missal,
Jataizinho,
Clevelândia,
Moreira Sales,
Jacarezinho,
Campina Grande do Sul,
Itaperuçu,
Ampére,
Coronel Vivida,
Reserva,
Marialva,
Guaratuba,
Laranjeiras do Sul,
Rio Branco do Sul,
Altônia,
Pontal do Paraná,
Tijucas do Sul,
Paiçandu,
Quedas do Iguaçu,
Realeza,
Terra Boa,
Ivaiporã,
Santa Terezinha de Itaipu,
Astorga,
Rolândia,
Cambará,
Mandaguari,
Guaíra,
Colorado,
Ribeirão do Pinhal,
Entre Rios do Oeste,
Cruz Machado,
Pranchita,
Santa Tereza do Oeste,
Mariluz,
Piraí do Sul,
Nova Aurora,
Jesuítas,
Chopinzinho,
Rio Negro,
Tapira,
Contenda,
Quitandinha,
Ortigueira,
Iporã,
Santo Antônio do Sudoeste,
Engenheiro Beltrão,
Uraí,
Bela Vista do Paraíso,
Ribeirão Claro,
Barbosa Ferraz,
Turvo,
Rondon,
Salto do Lontra,
Tomazina,
Ângulo,
Congonhinhas,
Jussara,
Rio Bonito do Iguaçu,
Campina da Lagoa,
Mauá da Serra,
Sapopema,
Palmital,
Porecatu,
Morretes,
Reserva do Iguaçu,
Renascença,
Abatiá,
Novo Itacolomi,
