Category: All categories

City,empreendedorismo: (9/19/17 - 9/19/22)
Resende,100
Japeri,80
Rio das Ostras,77
Volta Redonda,76
Queimados,75
Niterói,74
Barra Mansa,74
Araruama,72
São Francisco de Itabapoana,71
São Pedro da Aldeia,70
Nova Iguaçu,70
Paraíba do Sul,70
Angra dos Reis,70
São João de Meriti,69
Belford Roxo,68
Mesquita,67
São Gonçalo,67
Magé,67
Teresópolis,67
Nova Friburgo,66
Macaé,65
Itaguaí,64
Cabo Frio,63
Duque de Caxias,63
Campos,63
Rio de Janeiro,61
Maricá,60
Itaperuna,57
Petrópolis,54
Itaboraí,54
Itatiaia,52
Nilópolis,50
Saquarema,32
Lumiar,
Taquari,
Cardoso Moreira,
Cambuci,
Natividade,
Sapucaia,
Valença,
Paty do Alferes,
Pinheiral,
Santa Maria Madalena,
Carmo,
Bom Jardim,
São Fidélis,
Paracambi,
Casimiro de Abreu,
Conceição de Macabu,
Rio das Flores,
Cordeiro,
Tanguá,
Areal,
Bom Jesus do Itabapoana,
Farol de São Thomé,
Porto Real,
Miguel Pereira,
Mendes,
Carapebus,
Itaocara,
Seropédica,
Engenheiro Paulo de Frontin,
Além Paraíba,
Vassouras,
Três Rios,
Comendador Levy Gasparian,
Guapimirim,
São João da Barra,
Piraí,
Barra do Piraí,
Miracema,
Iguaba Grande,
Cachoeiras de Macacu,
Paraty,
Mangaratiba,
Rio Bonito,
Santo Antônio de Pádua,
Arraial do Cabo,
Armação dos Búzios,
São José do Vale do Rio Preto,
Rio Claro,
Cantagalo,
Silva Jardim,
Italva,
Macuco,
Varre-Sai,
Nossa Senhora do Amparo,
Morro Azul,
Quissamã,
Porciúncula,
Laje do Muriaé,
Trajano de Morais,
Praia de Araçatiba,
Aperibé,
