Category: All categories

City,empreendedorismo: (9/19/17 - 9/19/22)
Braço do Norte,100
Chapecó,99
Concórdia,90
São Bento do Sul,89
Porto União,87
Araranguá,87
Camboriú,87
Itajaí,84
Brusque,82
Blumenau,81
Jaraguá do Sul,81
Palhoça,80
Xanxerê,80
Navegantes,77
Caçador,76
Balneário Camboriú,76
Florianópolis,75
Rio do Sul,75
Timbó,74
Videira,73
Joinville,72
Criciúma,71
Tubarão,67
São José,63
Lages,63
Gaspar,60
Imbituba,51
São Miguel do Oeste,28
Dona Emma,
Chapadão do Lageado,
Papanduva,
Passo de Torres,
Monte Castelo,
Vitor Meireles,
Otacílio Costa,
Monte Carlo,
Timbó Grande,
São José do Cedro,
Marechal Bormann,
Rio Negrinho,
Mondaí,
Modelo,
Itapiranga,
Capinzal,
Pomerode,
Luzerna,
Xaxim,
Ituporanga,
Presidente Getúlio,
Fraiburgo,
Corupá,
Balneário Barra do Sul,
Penha,
São João Batista,
Campos Novos,
Maravilha,
Dionísio Cerqueira,
Taipa,
Curitibanos,
Abelardo Luz,
Indaial,
Urussanga,
Agronômica,
Balneário Gaivota,
Lauro Muller,
Santo Amaro da Imperatriz,
Guaramirim,
Sombrio,
São Carlos,
Forquilhinha,
Cunha Porã,
Joaçaba,
Canoinhas,
Turvo,
Itapema,
Itapoá,
Ascurra,
São Lourenço do Oeste,
Tijucas,
Mafra,
Santa Cecília,
Correia Pinto,
Três Barras,
Luiz Alves,
Garuva,
Saudades,
Schroeder,
Porto Belo,
Biguaçu,
Torres,
Barra Velha,
São Francisco do Sul,
Bombinhas,
Agrolândia,
Içara,
Itaiópolis,
Pinhalzinho,
Laguna,
Antônio Carlos,
Palmitos,
São Joaquim,
Garopaba,
Piçarras,
Imbuia,
Irineópolis,
São Pedro,
Rodeio,
Ibirama,
Benedito Novo,
Morro da Fumaça,
Armazém,
Treze Tílias,
Orleans,
Jaguaruna,
Anita Garibaldi,
Campo Erê,
Leão,
Iporã do Oeste,
Tangará,
Salete,
Balneário Rincão,
Quinta dos Ganchos,
Taió,
Santa Rosa do Sul,
Rio dos Cedros,
Rio Negro,
Urubici,
Iraí,
Campo Belo do Sul,
Caibi,
Ponte Alta,
