Category: All categories

City,empreendedorismo: (9/19/17 - 9/19/22)
Mogi das Cruzes,100
Elias Fausto,97
Itapecerica da Serra,94
Francisco Morato,87
Araras,86
Pirassununga,86
Indaiatuba,85
Matão,85
Taubaté,85
Hortolândia,84
Suzano,84
Santana de Parnaíba,84
Cotia,83
São José dos Campos,82
São Carlos,82
Barueri,80
Jaú,80
Pindamonhangaba,80
Caraguatatuba,79
Guaratinguetá,79
Poá,79
São Caetano do Sul,79
Embu das Artes,78
Votorantim,78
Caçapava,77
Lorena,76
Carapicuiba,76
Araraquara,75
São Bernardo do Campo,75
São Vicente,75
Presidente Prudente,74
Santo André,74
Osasco,74
Botucatu,73
Jacareí,73
Mauá,73
Santos,72
Rio Claro,72
Itapetininga,71
São Paulo,71
Mogi-Guaçu,70
Bragança Paulista,69
Sorocaba,69
Sao Jose do Rio Preto,69
Diadema,69
Limeira,69
Votuporanga,69
Catanduva,69
Arujá,68
Jundiaí,68
Itaquaquecetuba,68
Lins,67
Araçatuba,67
Americana,66
Praia Grande,65
Tatuí,65
Valinhos,64
Cruzeiro,63
Jaguariúna,62
São João da Boa Vista,61
Capivari,47
Santo Antônio do Aracanguá,
Ribeirão Grande,
Porangaba,
Taquarivaí,
Bocaina,
Monte Castelo,
Sarapuí,
São Bento do Sapucaí,
Urupês,
Santa Rita do Ribeira,
Vera Cruz,
Pindorama,
Eldorado,
Potim,
Salesópolis,
Mineiros do Tietê,
Itariri,
Piracaia,
Garça,
Reginópolis,
Tambaú,
Mococa,
Rio das Pedras,
Cafelândia,
Holambra,
Palmeira D'Oeste,
São Pedro,
Capela do Alto,
São Simão,
Guariba,
Álvares Machado,
Biritiba-Mirim,
Apiaí,
Avanhandava,
Ilha Solteira,
Itatinga,
Rosana,
Monte Alegre do Sul,
Santo Anastácio,
Guararema,
Alambari,
Cachoeira Paulista,
Adamantina,
Campina do Monte Alegre,
Engenheiro Coelho,
Embu-Guaçu,
Santa Fé do Sul,
Tremembé,
Piquete,
Jacupiranga,
Pitangueiras,
Pardinho,
Registro,
Nova Odessa,
Socorro,
Agudos,
Tupã,
Cerqueira César,
Brodowski,
Araçariguama,
Laranjal Paulista,
José Bonifácio,
Barra Bonita,
Ouroeste,
Macaubal,
Estiva Gerbi,
Maracaí,
Mairinque,
Taquarituba,
Bebedouro,
Santo Antônio de Posse,
Guareí,
Monte Aprazível,
Vargem Grande do Sul,
Cabreúva,
Conchal,
Santa Cruz das Palmeiras,
Descalvado,
Campos do Jordão,
Piraju,
São Manuel,
Presidente Venceslau,
São Joaquim da Barra,
São Roque,
Batatais,
Salto de Pirapora,
Mogi Mirim,
Teodoro Sampaio,
Campo Limpo Paulista,
Porto Ferreira,
Cosmópolis,
Cajati,
Iperó,
Joanópolis,
Presidente Epitácio,
Igaraçu do Tietê,
Mairiporã,
Bernardino de Campos,
Pederneiras,
Colina,
Jarinu,
Caconde,
Iracemápolis,
Morungaba,
Américo Brasiliense,
Santa Rita do Passa Quatro,
Pirapora do Bom Jesus,
Serrana,
Regente Feijó,
Pacaembu,
Conchas,
Tanabi,
Novo Horizonte,
Cesário Lange,
Ibitinga,
Casa Branca,
Pirapozinho,
Santa Cruz da Conceição,
Santa Mercedes,
Iepê,
Taiacu,
Bofete,
Ribeirão do Sul,
Buritizal,
Neves Paulista,
Ribeirão Bonito,
Águas de Santa Bárbara,
Cabrália Paulista,
Tabatinga,
Luís Antônio,
Juquiá,
Euclides da Cunha Paulista,
Guapiara,
Pirajuí,
Chavantes,
Ipaussu,
Itaí,
Lucélia,
Capelinha,
