Category: All categories,
City,SEBRAE: (9/16/17 - 9/16/22)
Araripina,100
Bonito,97
Macapá,96
São Luís de Montes Belos,95
Palmas,94
Araçuaí,92
Venda Nova do Imigrante,90
Boa Vista,85
Registro,79
Floriano,77
Diamantina,76
Natal,74
Ananindeua,74
São Luís,74
Rio Branco,74
Confresa,73
Salinas,73
Gurupi,73
Araguaína,72
Grajaú,71
Porto Nacional,71
Campo Grande,70
Caicó,70
Ji-Paraná,70
Cuiabá,70
Brasília,69
Paracatu,69
Pirapora,69
Castanhal,68
Porto Velho,68
Belém,68
Lauro de Freitas,66
Quixeramobim,66
Teresina,66
Salvador,66
Sobral,65
Coxim,64
Goiânia,64
Santarém,63
Cataguases,63
Barretos,63
Aracaju,63
Varginha,62
Vitoria,61
Barreiras,60
Itaituba,60
Paço do Lumiar,60
João Pessoa,60
Chapadinha,60
Unaí,60
Guaratinguetá,59
Arembepe,58
Monte Alto,58
Montes Claros,58
Três Rios,58
Santo Antônio de Jesus,58
Várzea Grande,58
Itacoatiara,58
São José de Ribamar,57
Tianguá,57
Lucas do Rio Verde,57
Caxias do Sul,56
Santa Rita do Sapucaí,56
Aracati,56
Joaçaba,55
Linhares,55
Inhumas,55
Mossoró,55
Açu,55
Guaraciaba do Norte,55
Paraíso do Tocantins,55
Catalão,54
Valença,54
Pato Branco,54
Imperatriz,54
Guararema,54
Jaraguá,53
Lajeado,52
Aparecida,52
Balsas,51
Brumado,51
São Gonçalo do Amarante,50
Garça,50
Guariba,49
Capanema,49
Abaetetuba,48
Lagoa Santa,47
Itajubá,47
Matinhos,47
Mirassol,46
São José de Mipibu,46
Piracaia,44
Bom Jesus dos Perdões,44
Santa Maria de Jetibá,44
Itaberaba,43
Dracena,43
Penápolis,43
Machado,40
Paraíba do Sul,39
Barra de São Francisco,39
Penedo,39
Planaltina,38
Mata de São João,38
Turmalina,37
Paraguaçu Paulista,36
Pitanga,35
Nhandeara,
Colina,
Baturité,
Careaçu,
Capela do Alto,
Itaguaçu,
Morungaba,
Santo Antônio do Pinhal,
Ipu,
Fundão,
Sooretama,
Torrinha,
Icapuí,
Ribeirão Claro,
Iperó,
Bela Vista de Goiás,
Apiaí,
Nossa Senhora da Glória,
Ouroeste,
Itapagé,
Serrana,
Espigão D'Oeste,
Viçosa do Ceará,
Ilha Comprida,
Nova Xavantina,
Bernardino de Campos,
Pompéia,
Itaú de Minas,
Uruaçu,
Parintins,
Castilho,
Jacarezinho,
São Paulo do Potengi,
Quatá,
Conceição do Castelo,
Vargem Grande do Sul,
Borborema,
Parapuã,
Rio Piracicaba,
Pires do Rio,
Iracemápolis,
Anchieta,
Panorama,
Courante,
Bambuí,
Rolante,
Apodi,
Caiapônia,
Cambará,
Russas,
Cunha,
Valparaíso,
Itapoá,
Goioerê,
Cordeirópolis,
Afogados da Ingazeira,
Jaboticatubas,
São Joaquim de Bicas,
Riachão do Jacuípe,
Trairi,
Taguaí,
Soledade,
Dores do Indaiá,
Brasilândia de Minas,
Ribeira do Pombal,
Ubiratã,
Conceição do Coité,
Mandirituba,
Angatuba,
Catolé do Rocha,
Paraguaçu,
Rancharia,
Serra do Salitre,
Três de Maio,
Ivinhema,
Mineiros do Tietê,
Mutuípe,
Santo Antônio de Posse,
Pilar,
Douradina,
Lagoa Vermelha,
Juatuba,
Nova Era,
Sertânia,
Terra de Areia,
Pirapora do Bom Jesus,
Candelária,
Rio Pardo,
Esperança,
Pentecoste,
Corbélia,
Iúna,
Dionísio Cerqueira,
Bela Vista do Paraíso,
