Category: All categories,
City,Senac: (9/16/17 - 9/16/22)
Águas de São Pedro,100
Registro,30
Campos do Jordão,23
Pindamonhangaba,21
São Pedro,20
Itapira,17
Bebedouro,16
Matinhos,16
São Carlos,15
Taboão da Serra,15
Jaboticabal,15
Mogi-Guaçu,14
Itirapina,14
Boa Vista,13
Bertioga,13
Palmas,13
Pariquera-Açu,13
Barretos,13
Guaratinguetá,13
Catanduva,12
Barbacena,12
Itacoatiara,12
Itapetininga,12
Limeira,12
Diadema,12
São Bernardo do Campo,12
Bauru,12
Rio Branco,12
Araraquara,11
Piracicaba,11
Cruzeiro do Sul,11
Votuporanga,11
Marília,11
São Cristóvão,11
São Paulo,11
São João da Boa Vista,11
Porto União,10
Viradouro,10
Taubaté,10
Araçatuba,10
Rio das Pedras,10
Guariba,10
Embu das Artes,10
Teresina,10
Timon,10
Sorocaba,10
Jaú,10
Resende,10
Santo André,10
Rio Grande da Serra,10
Corumbá,10
Ladário,9
Itapecerica da Serra,9
Osasco,9
Ribeirão Preto,9
Coromandel,9
Gurupi,9
Macapá,9
Castro,9
Carazinho,9
São José dos Campos,9
Abreu e Lima,9
Cidade Ocidental,9
Tramandaí,9
Montenegro,9
Pindorama,9
Botucatu,9
Cajati,8
Paulista,8
Santana do Livramento,8
Araguaína,8
Itabira,8
Americana,8
Uruguaiana,8
Natal,8
Iracemápolis,8
Aracaju,8
Vitoria,8
Santos,8
Coronel Fabriciano,8
Santo Ângelo,8
Porto Real,8
Campinas,8
São José de Ribamar,8
Gravataí,8
Poá,8
Francisco Morato,8
Itaquaquecetuba,8
Salto,8
Franco da Rocha,8
Venda Nova do Imigrante,8
Cardoso,8
Pinheiro,8
Pirapozinho,8
Pitangueiras,8
Caldas Novas,8
São Luiz Gonzaga,8
Aparecida,8
Serrana,8
Lorena,8
Guapiaçu,8
Rio Claro,7
Nova Londrina,7
Santa Gertrudes,7
Caçador,7
São Leopoldo,7
Novo Gama,7
Pelotas,7
Porto Alegre,7
Arujá,7
Ribeirão Pires,7
Nova Odessa,7
Cornélio Procópio,7
Macaíba,7
Várzea Paulista,7
Guaxupé,7
Cordeirópolis,7
Louveira,7
Cacoal,7
Altos,7
Pompéia,6
Colina,6
São Miguel do Oeste,6
Ilha de Itamaracá,6
Camaragibe,6
Matão,6
Extrema,5
Aragarças,5
Hidrolândia,5
Maranguape,5
Arroio do Meio,5
Border,5
Barra do Piraí,5
Cunha,5
Luzerna,5
Santo Antônio do Descoberto,5
Três Coroas,5
Brodowski,5
São Sepé,5
Barra do Garças,4
Areal,4
Domingos Martins,4
Estrela,4
Santa Isabel,4
Bela Vista de Goiás,4
Itaocara,4
Igrejinha,3
Carlos Barbosa,3
Guararema,3
Pontal,3
Pacatuba,3
Curitibanos,3
Santa Terezinha de Itaipu,3
Santa Maria de Jetibá,3
São Fidélis,3
Tianguá,2
Itápolis,2
Alambari,
Sarapuí,
Caranaíba,
Vera Cruz,
Cruz Machado,
Jandira,
Cananéia,
Pedralva,
Piquete,
Ipiranga,
Itapuí,
Tapira,
Entre Rios do Oeste,
Pedregulho,
Pirapora do Bom Jesus,
Miracema do Tocantins,
Aperibé,
Itacaré,
Clevelândia,
Conde,
Santa Branca,
Delta,
São Francisco de Paula,
Formoso do Araguaia,
Natividade,
São Joaquim de Bicas,
Mateus Leme,
Carandaí,
Pedra Preta,
Juazeirinho,
Silvânia,
Bom Conselho,
Barra do Bugres,
Salto do Lontra,
Borborema,
Espigão D'Oeste,
Caarapó,
Juruaia,
Serra Negra,
Bocaiúva do Sul,
Sarandi,
Perdões,
Lucélia,
