Category: All categories,
City,Simples Nacional: (9/16/17 - 9/16/22)
São Raimundo Nonato,100
Porteirinha,93
Ribeira do Pombal,88
Pires do Rio,75
Floriano,70
Xinguara,69
Morrinhos,68
Pontes e Lacerda,67
Balsas,66
Paraíso do Tocantins,65
Chapadinha,62
Seabra,60
Capelinha,60
Cravinhos,59
Irecê,59
São Gotardo,59
Ituiutaba,58
Patrocínio,58
Estrela,58
Encantado,58
Araguaína,57
Luis Eduardo Magalhães,56
Jales,56
Capanema,56
Altamira,56
Guaxupé,56
Sousa,55
Nova Mutum,55
Mairiporã,54
Pedreira,53
Paragominas,53
Ponte Nova,52
Ariquemes,51
Itabaiana,51
Campo Novo do Parecis,50
Manhuaçu,50
Juína,48
Gurupi,48
Santa Inês,47
Paranavaí,47
Chapadão do Sul,47
Pacajus,47
Franca,47
Carazinho,46
Cascavel,46
Garibaldi,46
Palmas,46
Santa Cruz do Sul,45
Colatina,45
Estância,44
Bom Despacho,44
Curvelo,44
Taquara,43
São Roque,42
São Borja,42
Maracaju,42
Mandaguaçu,42
Santo Antônio do Monte,42
Monte Carmelo,41
Andradas,40
Assis,40
Osório,40
Nova Serrana,39
Capivari,39
Leopoldina,36
Bom Jesus da Lapa,35
Itumbiara,34
Cruz Alta,33
Orlândia,32
São Lourenço da Mata,28
Açu,28
Ouroeste,
Iúna,
Itaguara,
São Gonçalo do Pará,
Araçuaí,
Itapecerica,
Paraguaçu,
Pinhalzinho,
Sertanópolis,
Miraí,
Abaeté,
Salvador do Sul,
São Gonçalo do Sapucaí,
Mutum,
Macaubal,
Guaçuí,
Courante,
Itaporanga,
Capim Branco,
Santa Maria da Vitória,
São Marcos,
Água Boa,
Guarantã do Norte,
Ibatiba,
Ibaiti,
Bom Jardim,
Prado,
Espigão D'Oeste,
Laranjal Paulista,
Parapuã,
Buritama,
Clevelândia,
Tauá,
Lucélia,
Orleans,
Serafina Corrêa,
Itajobi,
Livramento de Nossa Senhora,
Itatiaiuçu,
Siqueira Campos,
Santa Maria de Jetibá,
Itapuí,
Paraisópolis,
Colinas do Tocantins,
Barra de São Francisco,
Soledade,
São Luís do Paraitinga,
José Bonifácio,
Cunha Porã,
Potirendaba,
Ribeirão Claro,
Tapejara,
Itapuranga,
Sarapuí,
Nova Londrina,
Chopinzinho,
Vargem Grande do Sul,
Brasília de Minas,
Poconé,
Ipaussu,
Campos Gerais,
Palmeira das Missões,
Quatro Barras,
Nova Esperança,
São Joaquim de Bicas,
São Pedro,
Rosário do Sul,
Esplanada,
Feliz,
Piraí do Sul,
Jaíba,
São Sebastião do Caí,
Ubiratã,
São José do Cedro,
Pitanga,
Caetité,
Santa Isabel do Pará,
Castelo,
Santa Rita do Sapucaí,
Iporá,
Dom Pedrito,
Nova Viçosa,
Jardim,
Bela Vista de Goiás,
Palmeira,
Pomerode,
Cordeiro,
Carmo do Rio Claro,
Holambra,
Apodi,
Riachão do Jacuípe,
Pontal,
Carlos Barbosa,
Poço Fundo,
Muzambinho,
Maravilha,
Tocantins,
Belém,
Santo Antônio de Posse,
Xaxim,
Descalvado,
Arroio do Meio,
Garuva,
Floresta,
Ipanema,
Conceição do Mato Dentro,
Araçariguama,
Espera Feliz,
Castilho,
Andirá,
Acreúna,
Três de Maio,
Capão Bonito,
Santo Amaro da Imperatriz,
Rio Pardo,
Cajuru,
Sarzedo,
Feliz Natal,
Portão,
Raposos,
Imbé,
Ribeirão,
Engenheiro Coelho,
Agrolândia,
Luz,
Carambeí,
Porto Belo,
Rosário,
Monte Mor,
