Exercício: 2021
Escopo: Estados/DF
Tabela: Despesas Orçamentárias (Anexo I-D)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"Total Geral da Despesa";"siconfi-cor_TotalDespesas";56582124344,63
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.0.00.00.00 - Despesas Correntes";"siconfi-cor_DO3.0.00.00.00.00";49627199425,71
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.1.00.00.00 - Pessoal e Encargos Sociais";"siconfi-cor_DO3.1.00.00.00.00";25098815161,27
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.1.71.00.00 - Transferências a Consórcios Públicos mediante contrato de rateio";"siconfi-cor_DO3.1.71.00.00.00";57248986,52
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.1.90.00.00 - Aplicações Diretas";"siconfi-cor_DO3.1.90.00.00.00";23176366520,49
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.1.90.01.00 - Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares";"siconfi-cor_DO3.1.90.01.00.00";8064900321,97
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.1.90.03.00 - Pensões do RPPS e do Militar";"siconfi-cor_DO3.1.90.03.00.00";1189439786,22
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.1.90.04.00 - Contratação por Tempo Determinado";"siconfi-cor_DO3.1.90.04.00.00";585050595,62
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.1.90.05.00 - Outros Benefícios Previdenciários do Servidor ou do Militar";"siconfi-cor_DO3.1.90.05.00.00";3402,00
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.1.90.07.00 - Contribuição a Entidades Fechadas de Previdência";"siconfi-cor_DO3.1.90.07.00.00";14501072,39
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.1.90.11.00 - Vencimentos e Vantagens Fixas - Pessoal Civil";"siconfi-cor_DO3.1.90.11.00.00";9525590965,83
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.1.90.12.00 - Vencimentos e Vantagens Fixas - Pessoal Militar";"siconfi-cor_DO3.1.90.12.00.00";2311397719,08
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.1.90.13.00 - Obrigações Patronais";"siconfi-cor_DO3.1.90.13.00.00";305673283,27
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.1.90.13.99 - Outras Obrigações Patronais";"siconfi-cor_DO3.1.90.13.99.00";305673283,27
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.1.90.16.00 - Outras Despesas Variáveis - Pessoal Civil";"siconfi-cor_DO3.1.90.16.00.00";141369018,34
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.1.90.17.00 - Outras Despesas Variáveis - Pessoal Militar";"siconfi-cor_DO3.1.90.17.00.00";269130742,36
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.1.90.91.00 - Sentenças Judiciais";"siconfi-cor_DO3.1.90.91.00.00";402447527,2
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.1.90.92.00 - Despesas de Exercícios Anteriores";"siconfi-cor_DO3.1.90.92.00.00";291482628,51
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.1.90.94.00 - Indenizações e Restituições Trabalhistas";"siconfi-cor_DO3.1.90.94.00.00";42585672,82
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.1.90.96.00 - Ressarcimento de Despesas de Pessoal Requisitado";"siconfi-cor_DO3.1.90.96.00.00";24382396,25
