"","Município","UF","Índice de Acesso a Capital","Índice de Ambiente Regulatório","Índice de Capital Humano","Índice de Cultura","Índice de Infraestrutura","Índice de Inovação","Índice de Mercado","Indíce Cidades Empreendendoras 2023"
"1","São Paulo","SP",12.0226554350435,6.98833920888962,6.04663775445011,6.21272197774609,9.68553351040496,8.37922496323165,9.3408534924268,10.9709497373292
"2","Rio de Janeiro","RJ",7.38745067185918,8.3423875704263,6.2623751468363,5.51000090876583,5.43918277917934,8.19342989221293,7.12124787303937,8.75392371091541
"3","Brasília","DF",6.62140217035562,4.41598726587113,6.29402932144228,6.12489059698402,9.05333984204947,6.6228894636796,7.88488182735177,7.03782376684041
"4","Salvador","BA",6.05995567180888,6.19317614330765,5.82629486712153,5.51000090876583,4.91319845175514,5.99175563394411,4.88279100277106,4.64046818866665
"5","Fortaleza","CE",5.98008835019564,6.81622188487743,4.93532919309906,5.51000090876583,5.50755697931991,6.15197145951453,5.55759747322451,5.92849665485982
"6","Belo Horizonte","MG",8.89166083674326,5.56745931253812,7.12253339482518,5.51000090876583,6.51207913709985,7.10959519297384,6.1413603051366,5.58810340294409
"7","Manaus","AM",5.57779776782418,7.1485613547321,4.55208019346404,5.51000090876583,4.74057325348049,5.95040149587541,6.21067212552869,6.40820986032768
"8","Curitiba","PR",9.26366978779183,5.55087768263716,6.57281489093347,5.51000090876583,6.91748929743838,8.03108741200543,6.5349479303333,6.2090252453133
"9","Recife","PE",6.35511916151402,5.23304150869921,7.12813801067417,5.51000090876583,5.54104180864004,6.58651321066619,5.42646346903556,4.41467942745145
"10","Goiânia","GO",6.35810552263092,8.57336602378177,5.99786403712558,5.51000090876583,7.71707703495133,5.74466264327078,5.96908163575157,8.32985564855743
"11","Belém","PA",5.95764917423761,3.73324302441981,5.72483479872533,6.16178397827712,4.43835378951076,6.24229920935039,4.84806716133523,2.90194119622373
"12","Porto Alegre","RS",8.71674896508777,5.9140212038831,7.42333317828609,5.51000090876583,5.9232630473499,7.70471470238663,6.37878813682177,6.0113752917238
"13","Guarulhos","SP",5.63149833570715,4.75640509030949,5.33610840486075,5.51000090876583,7.44674201241072,6.65561774493046,7.26732208598106,5.93961056583087
"14","Campinas","SP",6.50482478330463,5.05438470811988,7.12405141328653,5.51000090876583,7.452996066016,8.08067395617616,6.72167276770534,6.08699394395078
"15","São Luís","MA",5.73225815836106,5.38933457426031,5.96255472025183,6.34625088474257,4.83033010441922,6.05048853132205,5.21658322111282,4.88377189706096
"16","São Gonçalo","RJ",5.41588990383621,7.4173594531305,4.52270000936,5.51000090876583,4.99709834627351,4.73634967955728,4.70909088274465,5.42381526389693
"17","Maceió","AL",5.82550580967253,5.06406630382449,5.48055254724129,5.51000090876583,4.39053483664741,5.34138748839864,4.96461691989219,3.37514315071516
"18","Duque de Caxias","RJ",5.46293527880429,5.55970046771543,4.9124703653215,5.51000090876583,6.09453650504345,5.42271629353827,5.51566442799823,4.78092915538572
"19","Campo Grande","MS",5.91143967732236,5.70551850502322,6.17875015527506,5.51000090876583,6.61079217265294,5.41057488158565,5.68083206379687,5.1155045728959
