,Município,UF,Índice de Acesso a Capital,Rank Acesso a Capital,Índice de Ambiente Regulatório,Rank Ambiente RegulatÃ³rio,Índice de Capital Humano,Rank Capital Humano,Índice de Cultura,Rank Cultura,Índice de Infraestrutura,Rank Infraestrutura,Índice de Inovação,Rank InovaÃ§Ã£o,Índice de Mercado,Rank Mercado,Índice Cidades Empreendendoras 2023,Rank ICE 23
1,São Paulo,SP,12.02265544,1,7.601756302,7,6.046637754,52,6.203082675,39,10.0455143,1,7.933681867,5,7.082457789,16,8.383660013,1
46,Florianópolis,SC,7.139655321,8,7.857664281,4,9.111357798,1,6.607592978,23,7.125851071,17,8.334474745,1,7.339005743,8,8.380841366,2
36,Joinville,SC,5.878863549,37,8.422598618,2,7.088001682,14,6.282347526,36,6.284558176,35,7.845207104,7,7.989853638,4,8.117914949,3
45,Niterói,RJ,6.05932521,23,7.614227728,6,7.216153558,8,6.28642937,35,7.163135596,16,6.080368098,42,9.010051877,1,7.804644819,4
55,Boa Vista,RR,5.641325876,61,6.653325914,22,5.527834849,67,8.657007041,1,4.904060835,90,4.879397589,85,7.234571902,11,7.785502844,5
2,Rio de Janeiro,RJ,7.387450672,6,8.296655159,3,6.262375147,44,6.214462351,38,5.732091893,61,7.298127995,14,6.529152208,29,7.757517749,6
8,Curitiba,PR,9.263669788,3,6.633542826,23,6.572814891,30,6.445301172,27,7.059570422,18,7.580757846,10,7.239613176,10,7.688603873,7
3,Brasília,DF,6.62140217,9,6.118899328,47,6.294029321,40,7.983140252,4,7.874001585,3,6.369957389,35,7.451295764,5,7.648727234,8
44,Macapá,AP,5.582169154,69,7.510300687,9,5.374537845,74,8.54713304,2,5.210177049,80,4.881532771,84,5.211337146,78,7.565774421,9
10,Goiânia,GO,6.358105523,13,8.505925219,1,5.997864037,56,6.750440426,18,6.484659195,25,5.966563643,48,5.808059857,57,7.546723319,10
74,Blumenau,SC,6.14683977,19,7.138827767,16,5.960963186,58,6.348214562,33,6.813991315,19,7.7945962,8,7.182343134,12,7.258888088,11
59,Jundiaí,SP,6.051731491,24,6.142426316,45,7.087296533,15,6.483959857,25,6.25628212,38,6.442489002,30,8.512287919,2,7.159980629,12
30,Osasco,SP,10.27790851,2,6.237991932,40,6.14370549,48,5.590726637,78,6.203658874,39,6.442482242,31,7.391885422,7,7.081315047,13
86,São José dos Pinhais,PR,5.556260827,74,7.423662007,10,5.290281562,78,5.793602488,67,6.256332361,37,6.864428409,21,8.089049567,3,7.024485416,14
12,Porto Alegre,RS,8.716748965,5,5.308105243,72,7.423333178,4,6.302127018,34,7.507258138,8,7.377034774,11,6.8154157,23,6.865054058,15
89,Palmas,TO,5.972927198,28,4.76568099,94,6.423703176,36,8.275089554,3,4.93235838,89,5.629189097,61,6.494396552,30,6.795134923,16
56,Maringá,PR,6.096593572,21,6.852470338,19,6.273105779,42,6.393632375,30,6.5525318,24,6.95241934,20,5.988103799,50,6.765034745,17
33,Aracaju,SE,6.13617252,20,6.388168196,32,5.785647091,61,7.156855291,9,4.608328688,95,5.542847042,64,5.951214975,51,6.74643681,18
38,Londrina,PR,6.246856302,16,7.203390282,14,6.276283221,41,6.072036477,48,6.286287238,34,6.616256162,26,5.785070283,58,6.687579798,19
26,Santo André,SP,5.892947929,35,6.427091297,27,7.143492745,10,6.164729083,41,6.733873512,21,6.552520078,28,6.870212882,21,6.682932942,20
22,São Bernardo do Campo,SP,6.04557096,25,6.260172957,38,6.974315993,19,6.068236541,49,7.319765027,11,6.630295834,25,7.318886381,9,6.677157645,21
25,São José dos Campos,SP,5.777614698,45,6.404884813,30,7.079951704,16,6.114146414,44,6.355359238,31,7.711469189,9,6.433338512,35,6.669604935,22
7,Manaus,AM,5.577797768,70,6.421476967,28,4.552080193,94,7.042168758,13,4.716353821,93,6.380542439,34,6.263441323,40,6.64713553,23
6,Belo Horizonte,MG,8.891660837,4,5.621815702,67,7.122533395,13,5.775399299,68,6.073697751,43,7.276237844,15,6.464504339,33,6.644722809,24
43,Caxias do Sul,RS,5.878338397,38,5.707821101,65,6.006814506,55,6.441039852,28,5.769425228,60,7.86815339,6,7.179684617,14,6.64115031,25
42,Serra,ES,5.416216332,91,6.473756075,26,5.571278354,65,6.641382771,21,5.720674371,62,5.624417635,62,6.799100154,24,6.564111625,26
85,Cascavel,PR,5.963979325,29,7.329815102,12,6.498053377,33,5.981035665,54,6.381236779,28,6.530774402,29,5.348856598,72,6.547231481,27
15,São Luís,MA,5.732258158,49,5.935682837,56,5.96255472,57,7.156189444,10,5.534484127,69,5.848114281,52,6.017194514,49,6.529706623,28
49,Vila Velha,ES,5.627040014,65,5.775415603,60,7.348843049,6,7.117943777,11,6.043805137,45,5.534653617,66,5.913287463,54,6.502031643,29
63,Piracicaba,SP,6.231292917,18,5.970051193,54,6.715137516,25,5.909203596,59,7.506936653,9,6.78334736,22,7.399453955,6,6.50013426,30
99,Marabá,PA,5.454081148,87,6.901381179,17,4.795797685,92,6.378936407,32,4.095503156,100,4.820383587,89,6.859390025,22,6.470613606,31
37,Aparecida de Goiânia,GO,5.38872686,94,7.629985155,5,4.469178376,96,6.515513436,24,5.022500551,84,5.529963787,67,5.084871253,82,6.45087951,32
40,Porto Velho,RO,5.708692631,51,5.71434609,64,5.0546175,84,7.180848549,8,5.570677491,68,6.262443999,39,6.145354122,45,6.419138445,33
27,Ribeirão Preto,SP,6.466705261,11,6.121101057,46,6.562535183,31,5.977275485,55,6.160683413,41,6.686010354,24,6.251984491,42,6.346931849,34
92,Santarém,PA,5.511238054,80,7.143513094,15,6.029053082,54,6.818068232,16,3.890923628,101,4.437100089,99,4.576306998,94,6.338402536,35
14,Campinas,SP,6.504824783,10,5.642443059,66,7.124051413,12,5.718405801,71,7.356820595,10,7.992496965,4,6.56922358,28,6.299036252,36
