,,Tempo de Processos,Tempo de Processos,Tempo de Processos,Tempo de Processos,Tributação,Tributação,Tributação,Tributação,Tributação,Complexidade Burocrática,Complexidade Burocrática,Complexidade Burocrática,Complexidade Burocrática,Índice de Ambiente Regulatório
,,Tempo de Viabilidade de Localização,"Tempo de Registro, Cadastro e Viabilidade de Nome",Taxa de Congestionamento em Tribunais,Índice de Tempo de Processos,Alíquota Interna do ICMS,Alíquota Interna do IPTU,Alíquota Interna do ISS,Qualidade de Gestão Fiscal,Índice de Tributação,Simplicidade Tributária,CNDs Municipais,Atualização de Zoneamento,Índice de Complexidade Burocrática,
Município,UF,,,,,,,,,,,,,,
São Paulo,SP,6.229959341063711,0.13239690058503065,1.0393501317369787,5.657816551901667,32.61078692655556,57.03669908881022,32.61099078039181,0.8205909466322362,4.701734464626845,0.08699200395658849,1,0.24999999999999978,8.983875522990733,6.98833920888962
Rio de Janeiro,RJ,433.8983139833383,5.336668707381346,1.037203824900486,11.767011934431736,52.81813966342864,86.00910868924858,52.83154275578934,0.3042640315013841,4.062193090624099,0.04950128730882518,0,0.02272727272727237,5.354748014190774,8.3423875704263
Brasília,DF,0.07938460660886623,5.554450348848901,1.038079185688567,6.7387194831516135,22.586026750598535,216.05842149708434,123.21941887498424,0.0,4.077250619586195,0.04291514989202279,0,0.0,5.030918165151581,4.4159872658711325
Salvador,BA,0.01199502468422058,0.04442316766917424,1.0370926692942217,5.524006772453031,48.558383858170316,72.74892847711229,48.558383858170316,0.940123570568697,5.259194204688142,0.03552373406362328,1,0.24999999999999978,7.479378869319675,6.193176143307652
Fortaleza,CE,0.08946835811674414,1.6699968696491339,1.0426600645300976,5.980604987273533,65.45519342621144,99.03890351485911,65.45519342621144,0.8108922929605835,5.347957719315377,0.029368435097656256,1,0.3333333333333333,7.7809087505970265,6.816221884877431
Belo Horizonte,MG,0.30060347790549385,0.2516293647046768,1.063469391038019,6.060047485117706,50.81251753651322,59.16068806297369,50.81251753651322,0.7562913210499533,4.891697419726384,0.041838165702142195,1,0.04166666666666647,6.4603125813594255,5.567459312538117
Manaus,AM,0.16037898486385935,5.259834056059049,1.0329914588469722,6.581669132306808,97.56186986993298,262.0745779417319,97.56186986993298,0.9140294467778187,6.4845300901285725,0.018319487482080257,1,0.16666666666666666,6.4950135599117,7.148561354732098
Curitiba,PR,0.32273521811388983,0.5552391466494667,1.035069504110713,5.601094456726129,55.0348926985063,89.9786930798058,55.0348926985063,0.8175621861415424,5.159883014305362,0.0459461445112768,1,0.05000000000000052,6.628540990637666,5.55087768263716
Recife,PE,0.05917524411430252,1.651746926599179,1.0334631591863366,5.806244060610145,54.6628336017521,96.34457396721487,54.674433483221634,0.7228187690130161,4.973969132635017,0.032155655976015975,1,0.04166666666666647,6.177277936666901,5.233041508699207
Goiânia,GO,0.11832201622073893,6.216733617120289,1.1824148945016968,9.551571076984677,60.71365728167921,62.855469951190855,60.71365728167921,0.829262613611592,5.221626057771158,0.042648167763290244,1,0.08333333333333341,6.724719553310766,8.573366023781773
Belém,PA,0.021273996615294388,0.07449149178467557,1.019922451790611,5.213173783847533,64.34016990566346,147.53884743031423,64.34016990566346,0.0,3.778441739005399,0.02242529204515648,1,0.047619047619047616,5.927234349493978,3.733243024419806
Porto Alegre,RS,0.051131103797059985,4.442836286227161,1.0417409484469329,6.56487019371303,68.76183012275536,91.1224373486819,68.77103283185305,0.7381922430132879,5.23901321476035,0.037037336959319676,1,0.0,6.079247610208835,5.9140212038831015
Guarulhos,SP,0.02363422785368932,0.05660582520237335,1.0161203291901346,5.139021370711307,108.41579207724644,101.40910843004838,108.41579207724644,0.5890427158722636,5.646966119458983,0.04456683215646594,0,0.07692307692307664,5.523622822703731,4.756405090309494
Campinas,SP,0.016941482558846137,0.0987255042044554,1.0138609638217984,5.106308557346304,46.14216407277807,61.586537527662024,46.14216407277807,0.7032121175959228,4.707270245908482,0.05897506958538929,1,0.031249999999999965,6.901068285658924,5.054384708119875
São Luís,MA,0.03539205829555304,0.17128111372524377,1.0487763480594294,5.767833720357763,47.38027251143036,286.88388990696603,47.38027251143036,0.7933158481531707,5.4200633548202575,0.026653090876787924,1,0.03571428571428568,5.982039589960251,5.389334574260308
São Gonçalo,RJ,0.02908631145095927,2.720328483927633,1.0184112964094567,5.759474546593398,175.79983759625793,225.07107139967906,175.79983759625793,0.6537635014375424,7.230260169282037,0.009293193233280378,0,0.5,6.936849080707159,7.417359453130504
Maceió,AL,1.1286388221204782,0.3625288597444457,1.0321083426771942,5.513984966869096,71.84873896745714,134.16899436775745,71.84873896745714,0.6519733781605099,5.213081418710588,0.019148083372547888,1,0.07692307692307664,6.000740671589341,5.064066303824488
Duque de Caxias,RJ,0.04427798897161789,3.7636232880161185,1.061704005283874,6.786504459824095,120.10683592158091,357.1717665468331,120.1491043854838,0.5229534938692604,6.29097501882089,0.01873282356501257,0,0.0,4.324031589934853,5.559700467715434
Campo Grande,MS,0.16134139796485322,5.414770012917149,1.033187815806631,6.618932212636564,69.40340213348543,55.39061353236537,69.40340213348543,0.5843000725158481,4.854817792548585,0.025459209659358745,1,0.06666666666666715,6.125968135923942,5.705518505023221
Natal,RN,0.0930708704389102,0.12858354808007044,1.046310178375868,5.713647320909582,60.20204749632655,101.36700319321767,60.20204749632655,0.533752982362588,4.694702273124432,0.025940350070407486,0,0.07692307692307664,4.979142115922306,4.078015953501
Teresina,PI,0.01201238458983135,3.6894692810847407,1.0305213648501659,6.193486431331338,72.56965454673123,198.01436212626575,72.56965454673123,0.6313180652113107,5.3270034206461165,0.01579310356597151,1,0.0714285714285715,5.870924922228546,5.552272771968313
São Bernardo do Campo,SP,0.07226697410004836,0.13041269339376757,1.0192636796060566,5.213726955992189,86.41481611912786,101.86455287515246,86.41481611912786,0.8770434225713464,5.8544202549363975,0.03164658371736232,1,0.1250000000000001,6.64385570482071,5.788124767497359
João Pessoa,PB,0.05945637018062321,5.934329819512022,1.0671120951279847,7.357720455441357,71.56263049899398,176.78369717009372,71.56263049899398,0.7499001398338523,5.504353289879367,0.02282963085811163,1,0.022222222222222483,5.792323514104927,6.481430469515463
Nova Iguaçu,RJ,0.04582918552039739,2.6576661108752453,1.0177742729811419,5.734295086040803,133.7069893076204,178.11852882274263,133.7069893076204,0.7905304834500522,6.671956477068891,0.007812558399215,1,0.2,6.380463363159735,6.578774637077688
São José dos Campos,SP,0.5140489045693577,0.1002314370031732,1.0280056754143463,5.373996911719496,113.09992403719819,141.1137455092038,113.09992403719819,0.7939265439152722,6.237038101055869,0.031110415698497127,1,0.09999999999999991,6.483745069483031,6.0697283169285
Santo André,SP,0.19813436468934664,0.1291359508781793,1.0235504631300374,5.294187197038671,56.36249284743486,87.80841891102862,56.36249284743486,0.7514098000676521,5.0427443562904415,0.03673655208162806,1,0.24999999999999978,7.514831404510674,5.890944181414495
Ribeirão Preto,SP,0.0795163754805164,0.0820423419136957,1.0223435099257348,5.260259792326692,92.34454704331002,82.17113495654455,92.34454704331002,0.7589675899584307,5.671701435040412,0.04281109878582534,1,0.07692307692307664,6.6924469904354815,5.723682632460665
Jaboatão dos Guararapes,PE,0.028582423434307228,1.4324242494922192,1.0775999004782293,6.574352922989225,117.89438810795544,109.48434182064273,117.89438810795544,0.6560146240685404,5.967120909302089,0.02077454340819562,1,0.1428571428571431,6.429218980939836,6.7141244711802655
