,,Iniciativa,Iniciativa,Iniciativa,Iniciativa,Instituições,Instituições,Instituições,Instituições,Instituições,Índice de Cultura
,,Pesquisas pelo Termo Empreendedora,Pesquisas pelo Termo Empreendedorismo,Pesquisas pelo Termo MEI,Índice de Iniciativa,Pesquisas por Sebrae,Pesquisas por Franquia,Pesquisas por SIMPLES Nacional,Pesquisas por Senac,Índice de Instituições,
Município,UF,,,,,,,,,,
São Paulo,SP,0,0,0,5.77842627173879,0,0,0,16,6.572522225310268,6.212721977746095
Rio de Janeiro,RJ,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Brasília,DF,0,0,0,5.77842627173879,50,0,0,0,6.427618104923685,6.124890596984025
Salvador,BA,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Fortaleza,CE,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Belo Horizonte,MG,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Manaus,AM,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Curitiba,PR,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Recife,PE,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Goiânia,GO,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Belém,PA,0,0,0,5.77842627173879,53,0,0,0,6.48848476690688,6.161783978277116
Porto Alegre,RS,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Guarulhos,SP,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Campinas,SP,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
São Luís,MA,0,0,0,5.77842627173879,68,0,0,0,6.792818076822855,6.346250884742574
São Gonçalo,RJ,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Maceió,AL,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Duque de Caxias,RJ,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Campo Grande,MS,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Natal,RN,0,0,0,5.77842627173879,54,0,0,0,6.508773654234612,6.17408177204148
Teresina,PI,0,0,0,5.77842627173879,55,0,0,15,7.615951747912188,6.84518056797484
São Bernardo do Campo,SP,0,0,0,5.77842627173879,0,0,0,15,6.500062944886945,6.168801910934829
João Pessoa,PB,0,0,0,5.77842627173879,53,0,0,0,6.48848476690688,6.161783978277116
Nova Iguaçu,RJ,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
São José dos Campos,SP,30,0,0,8.917643723450702,0,0,0,12,6.282685103616976,7.939829585412111
Santo André,SP,0,0,0,5.77842627173879,0,37,0,0,7.704606996018876,6.898917568912015
Ribeirão Preto,SP,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Jaboatão dos Guararapes,PE,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
