,,Iniciativa,Iniciativa,Iniciativa,Instituições,Instituições,Instituições,Instituições,Instituições,Índice de Cultura
,,Pesquisas pelo Termo Empreendedor,Pesquisas pelo Termo MEI,Índice de Iniciativa,Pesquisas por Sebrae,Pesquisas por Franquia,Pesquisas por SIMPLES Nacional,Pesquisas por Senac,Índice de Instituições,
Município,UF,,,,,,,,,
São Paulo,SP,0,0,5.774879419128317,0,0,0,16,6.572522225310268,6.232082261551898
Rio de Janeiro,RJ,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Brasília,DF,0,0,5.774879419128317,50,0,0,0,6.427618104923685,6.135278816588781
Salvador,BA,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Fortaleza,CE,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Belo Horizonte,MG,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Manaus,AM,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Curitiba,PR,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Recife,PE,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Goiânia,GO,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Belém,PA,0,0,5.774879419128317,53,0,0,0,6.48848476690688,6.175940894020807
Porto Alegre,RS,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Guarulhos,SP,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Campinas,SP,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
São Luís,MA,0,0,5.774879419128317,68,0,0,0,6.792818076822855,6.379251281180935
São Gonçalo,RJ,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Maceió,AL,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Duque de Caxias,RJ,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Campo Grande,MS,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Natal,RN,0,0,5.774879419128317,54,0,0,0,6.508773654234612,6.189494919831483
Teresina,PI,0,0,5.774879419128317,55,0,0,15,7.615951747912188,6.92914713517048
São Bernardo do Campo,SP,0,0,5.774879419128317,0,0,0,15,6.500062944886945,6.183675715583343
João Pessoa,PB,0,0,5.774879419128317,53,0,0,0,6.48848476690688,6.175940894020807
Nova Iguaçu,RJ,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
São José dos Campos,SP,0,0,5.774879419128317,0,0,0,12,6.282685103616976,6.038456077677679
Santo André,SP,0,0,5.774879419128317,0,37,0,0,7.704606996018876,6.98837342499503
Ribeirão Preto,SP,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Jaboatão dos Guararapes,PE,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Uberlândia,MG,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Osasco,SP,0,0,5.774879419128317,0,0,0,13,6.355144384040299,6.086862623646233
Sorocaba,SP,0,0,5.774879419128317,0,0,0,13,6.355144384040299,6.086862623646233
Contagem,MG,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Aracaju,SE,0,0,5.774879419128317,60,0,0,14,7.644936904127524,6.948510718255302
Feira de Santana,BA,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Cuiabá,MT,0,0,5.774879419128317,58,0,0,0,6.589929203545538,6.243711023074183
Joinville,SC,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Aparecida de Goiânia,GO,30,0,10.064574966657716,0,0,0,11,6.210225823193653,8.855787964377157
Londrina,PR,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Juiz de Fora,MG,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Porto Velho,RO,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
Ananindeua,PA,0,0,5.774879419128317,60,0,0,0,6.6305069782010015,6.270819074695534
Serra,ES,0,0,5.774879419128317,0,0,0,0,5.4131737385371,5.4575775260550206
