,,Inputs,Inputs,Inputs,Inputs,Inputs,Output,Output,Output,Output,Output,Índice de Inovação
,,Proporção de Mestres e Doutores em C&T,Proporção de Funcionários em C&T,Média de Investimentos do BNDES e FINEP,Contratos de Concessão,Índice de Inputs,Patentes,Tamanho da Indústria Inovadora,Tamanho da Indústria Criativa,Tamanho das Empresas TIC,Índice de Output,
Município,UF,,,,,,,,,,,
São Paulo,SP,4.986149584487535,0.07318768278097038,94318.90819126775,279.2322351230821,7.425901022929376,7.736586707530304,0.017708885876505372,0.21494273196990235,0.21605076521089958,9.419300002835092,8.686958575362308
Rio de Janeiro,RJ,15.444796061884668,0.06994815610184565,399385.21174148645,213.16807313642755,8.621779353497248,7.761954992967651,0.007234528832630098,0.15116912798874824,0.09585091420534458,7.327808454596965,8.190286589487949
Brasília,DF,8.878127522195319,0.047515932591814546,172472.49663230908,162.31728096134876,6.538779857946496,4.806743789794637,0.004178997399336383,0.08711326338444983,0.0840642094879383,6.134969155640148,6.37363479452597
Salvador,BA,7.386935971278767,0.04790534675111725,88504.926777874,130.2270320531033,5.773509333848991,5.21734638530878,0.0031510705891468864,0.07239713820802232,0.04385670377353617,5.599067967520162,5.652055963932451
Fortaleza,CE,13.218146627012226,0.0551546863707291,63919.493972450335,138.79053958362837,6.066873150647395,5.334466317329935,0.007930887976207337,0.06080347448425624,0.05367511683897465,5.657059054584444,5.846903621833392
Belo Horizonte,MG,13.056379821958457,0.07332209587760384,34593.25492124933,197.01702327034204,6.687620345049851,9.792284866468842,0.009448695923785725,0.09478369514290176,0.09896923317195065,6.89581183784054,6.878109424087457
Manaus,AM,12.734469110308037,0.13120199810847294,63409.04138902217,118.45350771525268,6.677947788781023,3.5564733551310734,0.016749842253197957,0.054092812482074225,0.0562152240004589,5.626529415173284,6.168851122960018
Curitiba,PR,18.53961271063278,0.07533540762621539,44325.51546227916,232.76640873561414,7.334714535334279,12.058604030009034,0.017027377351820576,0.1296594524529636,0.14075572489100122,8.048628263800726,7.8762693021785966
Recife,PE,31.205313165337316,0.0517981012206093,35380.28059350164,135.8797546792081,6.627243685472792,7.944326162254917,0.008420985731990212,0.06339572277479424,0.06225173980742953,5.999667502100871,6.347660372084531
Goiânia,GO,8.429900034813747,0.04552706201454815,6408.849839412896,193.61416422141542,6.022807058681942,4.625254886357985,0.013204356691699408,0.06738946635500075,0.052494156263987665,5.771348439074837,5.8858467073806615
Belém,PA,39.312696396336165,0.03732370410050479,106160.10405164737,79.9625593367654,6.599494709221372,6.685832720465334,0.004345791268302467,0.04907401216821555,0.03663836330815003,5.400522859938299,6.000009743167309
Porto Alegre,RS,21.80586429554356,0.0656792423053584,64162.66717819856,194.53265586958824,7.088116052761419,8.124272255742564,0.014845982851698952,0.14004445855827247,0.1255689636921774,7.6540390661061934,7.520691746830558
Guarulhos,SP,0.0,0.08927690159737132,138089.75072594555,131.90681043633722,6.163335723180249,4.804737694843287,0.04201352030839712,0.05653947147885357,0.0797251243086206,6.489717670751712,6.3621578150553795
Campinas,SP,29.295601825223358,0.10719113057780193,107924.27345517812,195.17619540626558,8.070149474477734,15.26132136968442,0.014877871084013958,0.09923693393151578,0.10272633153111699,7.558852850251326,8.012502446150211
São Luís,MA,11.089275687815835,0.053483261249696656,193683.72731617335,60.78046041549691,5.80899160618003,8.141493542953397,0.004351487928130264,0.061061201572150475,0.03754912970241438,5.677082436163653,5.714996807834604
São Gonçalo,RJ,0.0,0.05370802055932191,12536.612065303954,79.0610599078341,4.670471063019642,1.728110599078341,0.009216589861751152,0.044930875576036866,0.035570276497695855,5.017352450298104,4.717757549045812
