,,Desenvolvimento Econômico,Desenvolvimento Econômico,Desenvolvimento Econômico,Desenvolvimento Econômico,Clientes Potenciais,Clientes Potenciais,Clientes Potenciais,Clientes Potenciais,Índice de Mercado
,,Índice de Desenvolvimento Humano,Crescimento Real Médio do PIB,Número de Empresas Exportadoras com Sede na Cidade,Índice de Desenvolvimento Econômico,PIB per capita,Proporção entre Grandes/Médias e Médias/Pequenas Empresas,Compras Públicas,Índice de Clientes Potenciais,
Município,UF,,,,,,,,,
Ananindeua,PA,0.718,0.012633893,0.008708709,5.540768797,15.1103662,0.840368609,757178.6094,4.557815896,4.852848192
Anápolis,GO,0.737,-0.005996012,0.007135164,5.418101295,37.16856398,1.099590301,555778.4118,5.851194429,5.559155368
Aparecida de Goiânia,GO,0.718,0.014556157,0.006719085,5.445529473,23.87793847,0.926512751,627006.0963,5.037635706,5.084871253
Aracaju,SE,0.77,-0.032366621,0.00057509,5.055754092,26.06920611,1.788872363,553541.8839,6.863384254,5.951214975
Bauru,SP,0.801,-0.004371654,0.007775653,6.327721909,40.14762933,1.521414419,558106.3895,6.810619782,6.686778277
Belford Roxo,RJ,0.684,-0.046098339,0.004437049,3.956047147,15.6532056,0.787379973,1550614.322,4.469202885,3.843300791
Belo Horizonte,MG,0.81,-0.020653376,0.005356864,6.055129598,38.4104345,1.503972273,594003.9874,6.714790873,6.464504339
Belém,PA,0.746,-0.020510237,0.008424149,5.402222508,21.51147953,2.232773302,651435.8598,7.605365656,6.607892753
Betim,MG,0.749,-0.01275665,0.010212913,5.667916567,62.36611381,1.041471195,1016574.003,6.609999258,6.167670703
Blumenau,SC,0.806,-0.013458856,0.014691185,6.689198256,47.19795152,1.627204586,540730.7869,7.270547017,7.182343134
Boa Vista,RR,0.752,0.037389756,0.037028357,8.117522904,24.21483723,1.36,997232.4816,5.928792062,7.234571902
Brasília,DF,0.824,-0.00268192,0.001542463,6.2691261,88.42436105,1.346956425,1525630.184,8.136410779,7.451295764
Camaçari,BA,0.694,0.006748896,0.017528484,5.684843106,84.87630656,1.021825397,1344303.437,7.353353719,6.626359407
